SomaID	num_samples	BETA	SE	P	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol
X15434.5	2275	-0.000950494622588483	0.0375534081154595	0.979809568694591	Prepronociceptin	PNOC	Q13519	5368	PNOC
X15435.4	2099	0.0460243575349121	0.039394085258954	0.242817905430934	Purine nucleoside phosphorylase	PNP	P00491	4860	PNP
X15436.40	2219	0.0493403011891008	0.0381744852659273	0.196322525210969	Receptor activity-modifying protein 1	RAMP1	O60894	10267	RAMP1
X15437.11	2283	0.0349100916444107	0.0382475115483829	0.361476204136991	Receptor activity-modifying protein 3	RAMP3	O60896	10268	RAMP3
X15439.21	2239	0.0256596148708893	0.038159480867852	0.501379762658123	Rho-related GTP-binding protein RhoE	RND3	P61587	390	RND3
X15440.57	2294	-0.0189924660434679	0.0377159716422883	0.614615681091457	Neuroendocrine convertase 2	NEC2	P16519	5126	PCSK2
X15441.6	2287	-0.00494105970088249	0.0363664250596654	0.891937184197581	Ganglioside GM2 activator	SAP3	P17900	2760	GM2A
X15444.45	2122	0.0327627200461652	0.039197112747669	0.403337472280117	Serpin B4	SCCA2	P48594	6318	SERPINB4
X15446.25	2258	-0.0082746533238318	0.0325860644018491	0.799571325027698	Neuregulin-1, sensory and motor neuron-derived factor isoform	SMDF	Q02297	3084	NRG1
X15447.45	2255	-0.0254625299519378	0.034904142162017	0.46577342016484	Sorbitol dehydrogenase	Sorbitol dehydrogenase	Q00796	6652	SORD
X15448.47	2264	-0.0379149289881401	0.0384097599449662	0.323692204004533	Sequestosome-1	SQSTM	Q13501	8878	SQSTM1
X15449.33	2289	-0.0259047902406248	0.0375496392119587	0.490339792697795	T-cell immunoglobulin and mucin domain-containing protein 4	TIM-4	Q96H15	91937	TIMD4
X15452.5	2290	-0.0334514896184309	0.0368499647455015	0.364093751228871	5'-Nucleotidase	5'-Nucleotidase	P21589	4907	NT5E
X15453.3	2287	0.0287081037168299	0.0352381342370137	0.415336611312133	Alpha-1-microglobulin	a1-Microglobulin	P02760	259	AMBP
X15455.40	2281	-0.0899391972214901	0.0342198081874384	0.00864016327559316	Disintegrin and metalloproteinase domain-containing protein 15:Extracellular domain	ADA15:ECD	Q13444	8751	ADAM15
X15457.14	2259	-0.0150326521979121	0.0341453337175809	0.659795171259056	Aminopeptidase N	Aminopeptidase N	P15144	290	ANPEP
X15460.9	2257	-0.0556288287102298	0.0374160235658548	0.137218548984714	Dipeptidyl peptidase 4	CD26	P27487	1803	DPP4
X15462.28	2298	0.03445303149638	0.0353976789784897	0.330501457438624	T-cell surface glycoprotein CD8 alpha chain	CD8A	P01732	925	CD8A
X15465.79	2275	-0.024844417516806	0.036715177571553	0.498678904449036	Protein canopy homolog 4	CNPY4	Q8N129	245812	CNPY4
X15466.30	2283	-0.0575598490925207	0.0377353775934423	0.12731098001695	Collagen alpha-1(IX) chain	CO9A1	P20849	1297	COL9A1
X15467.10	2283	0.0108655200693695	0.0344438357489633	0.75244456339566	Collagen triple helix repeat-containing protein 1	CTHR1	Q96CG8	115908	CTHRC1
X15468.14	2268	-0.00322291588627159	0.0360731992671214	0.928816701658896	Complement factor H-related protein 1	FHR1	Q03591	3078	CFHR1
X15470.11	2280	-0.0328607322998876	0.0376470622800707	0.38283087088432	Beta-hexosaminidase subunit beta	Hexosaminidase B	P07686	3074	HEXB
X15471.29	2262	-0.0270882096458068	0.0386604931957237	0.483582662955904	Pancreatic lipase-related protein 2	LIPR2	P54317	5408	PNLIPRP2
X15472.16	2294	-0.0128964037239939	0.0373194884221212	0.729699864775011	Low-density lipoprotein receptor-related protein 11	LRP11	Q86VZ4	84918	LRP11
X15474.7	2258	0.0584466296565028	0.0371794872205349	0.116089636221562	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	Q13526	5300	PIN1
X15475.4	2179	-0.010945330484775	0.0362407549205964	0.762668207244444	Phospholipid transfer protein	PLTP	P55058	5360	PLTP
X15476.6	2215	0.0794192703528698	0.0383066185417787	0.0382658377243577	Regenerating islet-derived protein 3-gamma	REG3G	Q6UW15	130120	REG3G
X15480.2	2308	-0.0471770570475906	0.0374436475606868	0.207817158353842	Vascular non-inflammatory molecule 2	VNN2	O95498	8875	VNN2
X15481.45	2175	-0.0219553846745192	0.0380858141079539	0.564357071158444	Antibacterial protein LL-37	LL-37	P49913	820	CAMP
X15482.12	2240	-0.024378187754602	0.0372182797051432	0.512532240782119	Alpha-2-macroglobulin-like protein 1	A2ML1	A8K2U0	144568	A2ML1
X15483.377	2281	0.00907083772849111	0.0367056803521316	0.804835161010305	Agrin	Agrin	O00468	375790	AGRN
X15486.126	2245	-0.0168240879834228	0.0386634609746691	0.663501917437101	Amiloride-sensitive amine oxidase [copper-containing]	ABP1	P19801	26	AOC1
X15487.164	2252	0.0609435789613363	0.0384729605527185	0.113321836175074	Liver carboxylesterase 1	carboxylesterase, liver	P23141	1066	CES1
X15491.20	2295	0.0040524399601498	0.036204726019495	0.910887846904655	Endosialin	CD248	Q9HCU0	57124	CD248
X15492.1	2276	0.0633769069901622	0.0372270886713875	0.0888112405742039	Cysteine-rich motor neuron 1 protein:Extracellular domain	CRIM1:ECD	Q9NZV1	51232	CRIM1
X15494.11	2265	-0.0303972202092205	0.0374976200835192	0.417656496541243	Fibroblast growth factor-binding protein 1	FGFP1	Q14512	9982	FGFBP1
X15495.9	2235	0.0141144166552159	0.0378826046983779	0.709494609102664	Folate receptor gamma	FOLR3	P41439	2352	FOLR3
X15497.9	2284	-0.0385666248560117	0.0365549691900332	0.291524279849002	Heparan sulfate glucosamine 3-O-sulfotransferase 1	HS3S1	O14792	9957	HS3ST1
X15499.11	2297	0.0118835292238011	0.036059650753942	0.741768972040361	Attractin	Attractin	O75882	8455	ATRN
X15503.15	2307	0.000227878837717984	0.032567098803116	0.99441769275097	Left-right determination factor 2	Lefty-A	O00292	7044	LEFTY2
X15503.20	2279	0.0116928435171342	0.0325728729812931	0.719647585055494	Left-right determination factor 2	Lefty-A	O00292	7044	LEFTY2
X15504.39	2285	-0.0131704263204003	0.0372888446746165	0.723971407985289	Baculoviral IAP repeat-containing protein 7 Isoform beta	Livin B	Q96CA5	79444	BIRC7
X15506.34	2267	-0.0165625846679881	0.0372905294336576	0.656977195937594	Low-density lipoprotein receptor-related protein 12	LRP12	Q9Y561	29967	LRP12
X15509.2	2262	-0.0136540660387535	0.0379584732035659	0.719097592274984	Alpha-N-acetylglucosaminidase	NAG	P54802	4669	NAGLU
X15511.37	2281	-0.0114895362289031	0.0373406415568456	0.758342749980727	Neuronal pentraxin receptor	NPTXR	O95502	23467	NPTXR
X15513.108	2298	0.0327816363730847	0.0353489593416532	0.353832124538527	Prostasin	Prostasin	Q16651	5652	PRSS8
X15514.26	2282	0.0194197915236549	0.0378315302517984	0.60777583057662	Cholinesterase	Pseudocholinesterase	P06276	590	BCHE
X15515.2	2178	-0.00696446479650646	0.0385275955948285	0.856568608978093	Serum amyloid A-1 protein	SAA	P0DJI8	6288	SAA1
X15516.12	2290	0.0254274150688371	0.0372488803002142	0.494907070411385	Serum amyloid A-4 protein	SAA-4	P35542	6291	SAA4
X15521.4	2293	-0.00413064570883081	0.0377123338979329	0.912791554257511	Calsyntenin-1	Alcadein alpha-1	O94985	22883	CLSTN1
X15522.2	2284	0.053815124183236	0.0350181179787375	0.124487743601131	Golgi-associated plant pathogenesis-related protein 1	GAPR1	Q9H4G4	152007	GLIPR2
X15523.9	2079	0.00414661938103047	0.0390271274258241	0.915394669359596	Delta-aminolevulinic acid dehydratase	HEM2	P13716	210	ALAD
X15524.30	2253	-0.0178119920667815	0.0369526688654765	0.629837931611358	Phosphoglycerate mutase 2	PGAM2	P15259	5224	PGAM2
X15525.294	2224	0.0875960229997734	0.0366641997154526	0.0169717744999834	Alcohol dehydrogenase 1C	ADH1G	P00326	126	ADH1C
X15526.33	2282	0.00750915059472598	0.0367163426693707	0.837967267298652	Glutathione synthetase	GSHB	P48637	2937	GSS
X15527.90	2228	0.0317554613429595	0.0369077048373818	0.389661390190499	Dihydrolipoyl dehydrogenase, mitochondrial	DLDH	P09622	1738	DLD
X15530.33	2271	0.0219517552138952	0.0369878239053518	0.552915877910807	Ephrin type-B receptor 4	EphB4	P54760	2050	EPHB4
X15533.97	2285	0.0272729562582857	0.0369882602487819	0.46099182546195	Macrophage scavenger receptor types I and II:Extracellular domain	Macrophage scavenger receptor:ECD	P21757	4481	MSR1
X15534.26	2280	0.0316705689745455	0.0371418649437165	0.393920956747947	Malate dehydrogenase, mitochondrial	Malate dehydrogenase 2	P40926	4191	MDH2
X15535.3	2289	-0.0185855783650638	0.0370513642401761	0.615986161665439	Serine protease 27	Marapsin	Q9BQR3	83886	PRSS27
X15539.15	2290	0.00184311280442176	0.0373169082158598	0.960612207820833	SLIT and NTRK-like protein 1	SLIK1	Q96PX8	114798	SLITRK1
X15540.6	2271	0.039365342474335	0.0339188526500439	0.245938808073245	Vimentin	Vimentin	P08670	7431	VIM
X15542.19	2282	0.0213553083675202	0.034788420117258	0.539368186739299	Creatine kinase U-type, mitochondrial	KCRU	P12532	1159	CKMT1A
X15544.25	2185	0.0239509740036096	0.038076361575804	0.529399550708421	Kallikrein-14	kallikrein 14	Q9P0G3	43847	KLK14
X15545.13	2289	0.0207606164178008	0.037152589334579	0.576358234594301	Calcineurin subunit B type 1	Calcineurin B a	P63098	5534	PPP3R1
X15553.22	2118	0.00243813838785116	0.0342910248283282	0.943323900840237	Acetylcholinesterase	ACES	P22303	43	ACHE
X15556.49	2278	0.00447170948778972	0.0339920536992315	0.89535073735658	Alpha-amylase 2B	Alpha-amylase 2B	P19961	280	AMY2B
X15558.63	2230	-0.0237617066554688	0.0371539574249062	0.522533685208666	Glutamyl aminopeptidase	AMPE	Q07075	2028	ENPEP
X15559.5	2253	0.0589439918339369	0.0373421715640981	0.114596976053754	Anthrax toxin receptor 2	ANTR2	P58335	118429	ANTXR2
X15560.52	2309	0.0136264988332509	0.0381716294089366	0.721140027877366	Transcobalamin-2	Apo-TC II	P20062	6948	TCN2
X15562.24	2280	-0.0296810968856041	0.037970951681321	0.434485506234012	Beta-glucuronidase	BGLR	P08236	2990	GUSB
X15565.102	2282	-0.0139733681242224	0.0336913245449133	0.678366810495497	Mucin-16	CA125	Q8WXI7	94025	MUC16
X15566.10	2258	0.0391101660108776	0.0324859335307366	0.228752006002224	Calponin-1	Calponin-1	P51911	1264	CNN1
X15567.2	2269	0.0637583626200328	0.0385418449423811	0.0982142404051667	T-cell surface glycoprotein CD3 zeta chain	CD3-zeta	P20963	919	CD247
X15569.15	2265	0.0563820345184274	0.037578263022711	0.133654823392426	Collagen Type II	Collagen II	P02458	1280	COL2A1
X15570.99	2249	-0.0111490097260746	0.0376109057990062	0.766929289568081	Complement receptor type 2	Complement receptor type 2	P20023	1380	CR2
X15573.110	2291	-0.0161016746520057	0.0371996453756974	0.665168795379595	Neurocan core protein	CSPG3	O14594	1463	NCAN
X15574.37	2281	-0.0249663335712729	0.037855596230466	0.509632612422007	Cyclin-A2	Cyclin A	P20248	890	CCNA2
X15576.158	2283	-0.00882744813839211	0.0356698047619118	0.804561825727933	Eosinophil cationic protein	ECP	P12724	6037	RNASE3
X15579.26	2288	-0.0799911068641574	0.0376034709496171	0.0335094083473543	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6	ENPP6	Q6UWR7	133121	ENPP6
X15580.2	2276	0.040891007716891	0.0372914933186541	0.272967246210837	Ephrin type-A receptor 7	EPHA7	Q15375	2045	EPHA7
X15581.16	2252	0.0454353890175589	0.0358346013129929	0.204959607271575	Fibronectin type 3 and ankyrin repeat domains protein 1	FANK1	Q8TC84	92565	FANK1
X15582.25	2271	0.0425127178300451	0.036390230499563	0.242832130986647	Ficolin-1	FCN1	O00602	2219	FCN1
X15583.18	2274	-0.0133319046930214	0.0379913809742558	0.725681928652832	Fc receptor-like B	FCRLB	Q6BAA4	127943	FCRLB
X15584.9	2237	0.0730354867342357	0.0379724542092017	0.0545608192544315	Complement factor H-related protein 2	FHR2	P36980	3080	CFHR2
X15585.304	2285	0.0367856200128426	0.0341270201543101	0.281192354571755	Fibulin-5	fibulin 5	Q9UBX5	10516	FBLN5
X15587.20	2295	-0.0149718812062661	0.0334415227231972	0.654410148661189	Folate receptor beta	FOLR2	P14207	2350	FOLR2
X15588.17	2256	-0.0187989481145292	0.0354266859959903	0.595718656548439	Alpha-galactosidase A	galactosidase, alpha	P06280	2717	GLA
X15589.1	2284	0.0171112604684947	0.035467885721387	0.629537602081455	Vitamin D-binding protein	Gc-Globulin, Mixed Type	P02774	2638	GC
X15591.28	2207	0.0446331428038549	0.0342650160097056	0.192853852858013	Glutathione peroxidase 1	Glutathione peroxidase	P07203	2876	GPX1
X15594.47	2280	0.0265322928671297	0.0357910898847984	0.458582896339655	Serine protease HTRA1	HTRA1	Q92743	5654	HTRA1
X15596.7	2228	0.0334614269244476	0.0374105340266745	0.37118522366577	Protein HEXIM1	HEXI1	O94992	10614	HEXIM1
X15602.43	2296	-0.0344472336348318	0.0377422493356214	0.361499113741589	Interleukin-6 receptor subunit alpha	IL-6 sRa	P08887	3570	IL6R
X15603.20	2262	0.00199879935718876	0.0371254355789009	0.957068190230727	Integrin alpha-2	Integrin alpha-2	P17301	3673	ITGA2
X15604.18	2264	0.00977608588599981	0.0357071114073745	0.784274863464729	Mitogen-activated protein kinase 9	JNK2	P45984	5601	MAPK9
X15606.19	2276	-0.0431716817312767	0.0370431119593988	0.243963024704812	Keratin, type I cytoskeletal 19	Keratin 19	P08727	3880	KRT19
X15607.56	2181	-0.0315342366201992	0.0388376592296842	0.416910218819257	Pyruvate kinase PKLR	KPYR	P30613	5313	PKLR
X15608.5	2276	0.00950118444059859	0.0378160569683628	0.801645865494269	Ribosomal protein S6 kinase beta-1	KS6B1	P23443	6198	RPS6KB1
X15610.72	2221	-0.00272813320037339	0.0346111594477304	0.937181121410537	Cytosol aminopeptidase	LAP	P28838	51056	LAP3
X15612.5	2266	0.0578572170509909	0.0364473019560501	0.112558749526441	Protein lin-7 homolog B	LIN7B	Q9HAP6	64130	LIN7B
X15613.16	2213	0.0296542835119869	0.0383601190398574	0.439576623108889	Pancreatic triacylglycerol lipase	LIPP	P16233	5406	PNLIP
X15614.168	2289	0.0266530950576386	0.0356022317586579	0.454154892916706	Leukocyte immunoglobulin-like receptor subfamily A member 2	LIRA2	Q8N149	11027	LILRA2
X15615.8	2055	-0.0530186911694929	0.0403476302627123	0.188979222026031	Leukocyte immunoglobulin-like receptor subfamily B member 3	LIRB3	O75022	102725035	LILRB3
X15617.8	2282	-0.0115308434711353	0.0333289413399125	0.729396923895203	Cytokine SCM-1 beta	lymphotactin beta	Q9UBD3	6846	XCL2
X15619.49	2253	0.0297223704333009	0.0380548330892287	0.434861806899894	Myelin-oligodendrocyte glycoprotein	MOG	Q16653	4340	MOG
X15620.4	2289	-0.0197677158389466	0.0376439653113456	0.599549172701518	Neuroligin-1	NLGN1	Q8N2Q7	22871	NLGN1
X15622.13	2295	-0.0184673143285506	0.0369718966585013	0.617478543092892	Opioid-binding protein/cell adhesion molecule	OBCAM	Q14982	4978	OPCML
X15623.1	2289	0.0246123841092761	0.037394908867352	0.510492956199967	Programmed cell death protein 1	PD-1	Q15116	5133	PDCD1
X15626.223	2291	-0.000680928389456239	0.0328418031228495	0.98346000631873	Basement membrane-specific heparan sulfate proteoglycan core protein	Perlecan	P98160	3339	HSPG2
X15627.83	2290	0.0446301693425032	0.0335451408013505	0.183503976762273	RAC-alpha serine/threonine-protein kinase	PKB	P31749	207	AKT1
X15631.18	2287	-0.0222901475953017	0.0378581311705167	0.556067150676265	Pregnancy-specific beta-1-glycoprotein 1	PSG1	P11464	5669	PSG1
X15634.139	2293	0.039747372073837	0.0374485138678607	0.28862729400635	Slit homolog 1 protein	SLIT1	O75093	6585	SLIT1
X15635.4	2293	0.0452249678486106	0.0344756975154552	0.189723209964013	SPARC-related modular calcium-binding protein 2	SMOC2	Q9H3U7	64094	SMOC2
X15636.49	2293	-0.0224141502400067	0.0376646012066171	0.551837111898721	VPS10 domain-containing receptor SorCS1	SORC1	Q8WY21	114815	SORCS1
X15637.38	2297	-0.0198676355481731	0.0376211221327124	0.597483099427124	VPS10 domain-containing receptor SorCS3	SORC3	Q9UPU3	22986	SORCS3
X15640.54	2302	0.0388594867661205	0.031846131950796	0.22250580256556	Transgelin	TAGL	Q01995	6876	TAGLN
X15641.20	2287	0.0122899956877263	0.03755179584577	0.743485597592135	Tomoregulin-1	TEFF1	Q8IYR6	100526694	TMEFF1
X15644.1	2285	0.00973201295967929	0.0369239456047118	0.7921360251396	Biotinidase	Biotinidase	P43251	686	BTD
X15653.9	2261	0.027880289885441	0.03609020292174	0.439890236049482	Collagen alpha-1(X) chain	COAA1	Q03692	1300	COL10A1
X15666.21	2286	-0.0236370837723777	0.0375695372669458	0.529310939588384	Bone morphogenetic protein 2	BMP-2	P12643	650	BMP2
X15667.39	2277	-0.00517167174093181	0.0372457238041146	0.889578945440057	Bone morphogenetic protein 4	BMP-4	P12644	652	BMP4
X15668.19	2275	-0.0230546551766101	0.0376781878510091	0.540676937087245	Bone morphogenetic protein 8B	BMP-8	P34820	656	BMP8B
X15669.7	2090	-0.0276640941672529	0.0382343639689134	0.469430297715342	Serine/threonine-protein kinase B-raf	BRAF1	P15056	673	BRAF
X15670.15	2097	-0.0104612667544015	0.039697625566083	0.792173195192331	Complement C1q-like protein 2	C1QL2	Q7Z5L3	165257	C1QL2
X15674.3	2248	-0.0273788987613918	0.0362872456763501	0.450626336478322	B-cell antigen receptor complex-associated protein alpha chain	CD79A	P11912	973	CD79A
X15675.3	2252	0.0211670892143243	0.0335335131047236	0.527960371555167	CCAAT/enhancer-binding protein beta	CEBPB	P17676	1051	CEBPB
X15678.71	2279	0.0580912996487064	0.0326468689506691	0.0753119855998591	Dickkopf-related protein 2	DKK2	Q9UBU2	27123	DKK2
X15686.49	2286	0.0773372847978652	0.0361196056643441	0.0323693199778648	Inhibin beta C chain	INHBC	P55103	3626	INHBC
X15688.30	2295	0.0552411235097108	0.0370361233200925	0.135957223098795	Protein ERGIC-53	Mannose-binding lectin	P49257	3998	LMAN1
X15692.300	2289	-0.0156341224402471	0.0374354593760066	0.67625831263339	Nodal homolog	NODAL	Q96S42	4838	NODAL
X15693.9	2256	0.0289532550056582	0.0350443814609884	0.40878591313535	Progesterone receptor	PgR	P06401	5241	PGR
X15698.6	2282	-0.00822131747756022	0.0354927195017135	0.816843419242781	Alpha-taxilin	TXLNA	P40222	200081	TXLNA
X16015.19	2100	-0.0330193985837411	0.0386406740390087	0.392913382302559	Alanine aminotransferase 1	ALT	P24298	2875	GPT
X16035.8	2278	0.00872835232782278	0.0360738298551365	0.80883477396745	Vascular endothelial growth factor receptor 3	VEGF sR3	P35916	2324	FLT4
X16043.30	2265	-0.0105023421743545	0.0316269070876762	0.739867670452002	SHC-transforming protein 1:Phosphotyrosine Interaction Domain	SHC1:PID	P29353	6464	SHC1
X16055.3	2222	0.0679559214606804	0.0374962619426313	0.070070726193256	Complement factor H-related protein 5	complement factor H-related 5	Q9BXR6	81494	CFHR5
X16057.6	2292	-0.0183345425900217	0.036637626095875	0.616821512009108	Cation-independent mannose-6-phosphate receptor	IGF-II receptor	P11717	3482	IGF2R
X16060.99	2269	-0.00641214087138047	0.0371996347756503	0.863161399683886	Nidogen-2	NID2	Q14112	22795	NID2
X16070.7	2290	0.00521021802303157	0.0361441741559136	0.885394109192217	Wnt inhibitory factor 1	WIF-1	Q9Y5W5	11197	WIF1
X16074.12	2248	-0.0366985254485314	0.0383364550311953	0.338532904924582	GRB2-related adapter protein 2	GRB2-related adapter protein 2	O75791	9402	GRAP2
X16079.2	2247	-0.00257953368155838	0.0357060843223377	0.942414620791429	Tyrosine-protein kinase Tec	TEC	P42680	7006	TEC
X16081.38	2102	-0.0474231010230745	0.038418343484083	0.217198733956937	Aldo-keto reductase family 1 member B10	Aldose reductase-like	O60218	57016	AKR1B10
X16288.17	2255	-0.0496713673303812	0.0375406471903373	0.18592629639429	Ephrin type-A receptor 4	EPHA4	P54764	2043	EPHA4
X16292.288	2299	0.0564313182237803	0.0366603007351775	0.123869790722849	Gastric inhibitory polypeptide	GIP	P09681	2695	GIP
X16293.1	2267	-0.0028105829198402	0.0368381511796991	0.939190879915022	Somatoliberin	Growth hormone-releasing factor	P01286	2691	GHRH
X16296.43	2255	0.043738614570784	0.0349311169461316	0.210650873326133	Leucine-rich repeat-containing G-protein coupled receptor 5	LGR5	O75473	8549	LGR5
X16297.14	2247	0.0168236842575514	0.033110122049545	0.611424654788581	Roundabout homolog 4	ROBO4	Q8WZ75	54538	ROBO4
X16298.84	2262	0.0358427264357532	0.0363932010918062	0.324792639717165	Group IID secretory phospholipase A2	sPLA(2)-IID	Q9UNK4	26279	PLA2G2D
X16300.4	2298	0.00168353543624354	0.0347537858275455	0.961368425513611	Triggering receptor expressed on myeloid cells 2	TREM2	Q9NZC2	54209	TREM2
X16302.11	2244	-0.0194121695743312	0.0321431757674705	0.545953294730429	BPI fold-containing family A member 2	SPLC2	Q96DR5	140683	BPIFA2
X16304.6	2263	-0.0115459149436582	0.0367542024285336	0.753445105841219	Leucine-rich repeat-containing G-protein coupled receptor 4	LGR4	Q9BXB1	55366	LGR4
X16307.22	2283	0.00773531774940501	0.03748790231771	0.836542654572499	Netrin receptor UNC5D	UNC5H4	Q6UXZ4	137970	UNC5D
X16308.14	2268	0.0357728598186149	0.0353568951400694	0.311759972867692	B- and T-lymphocyte attenuator	BTLA	Q7Z6A9	151888	BTLA
X16309.30	2106	-0.00733000702116798	0.0375043172878016	0.845064223952184	Dickkopf-like protein 1	Soggy-1	Q9UK85	27120	DKKL1
X16312.45	2072	0.0110770296932532	0.0360687628827886	0.758791975714937	Cadherin-6	Cadherin-6	P55285	1004	CDH6
X16315.105	2267	0.0354185401950276	0.0377154032179805	0.34778076619525	Vascular endothelial growth factor receptor 1	VEGF sR1	P17948	2321	FLT1
X16317.20	2161	-0.0176178509873821	0.0377307635435749	0.640593440803887	Desmoglein-3	Desmoglein-3	P32926	1830	DSG3
X16318.12	2272	-0.0241353894672191	0.036534136979094	0.508920289927591	Serine/threonine-protein kinase receptor R3	ALK-1	P37023	94	ACVRL1
X16320.139	2276	0.0185950109821811	0.0371379384076058	0.616630497721353	CD320 antigen	CD320	Q9NPF0	51293	CD320
X16322.10	2207	0.0880299839149477	0.037244166251291	0.0181862070328516	Marginal zone B- and B1-cell-specific protein	PACAP	Q8WU39	51237	MZB1
X16323.8	2269	-0.0248296383291248	0.0377342310880403	0.510597050428985	Neurexin-3	NRX3A	Q9Y4C0	9369	NRXN3
X16324.38	2282	0.0259460334270546	0.0368483855128347	0.48142499504604	Toll-like receptor 1:Extracellular domain	TLR1:ECD	Q15399	7096	TLR1
X16536.3	2279	0.0499940914962751	0.0367925412179607	0.174342961214416	High mobility group protein HMG-I/HMG-Y	HMGA1	P17096	3159	HMGA1
X16551.14	2111	-0.0276969090060464	0.0386522187102696	0.473721647199031	Signal transducer and activator of transcription 5B	STA5B	P51692	6777	STAT5B
X16558.2	2298	-0.0267194927010759	0.0343757549222424	0.437076306586546	Myocilin	MYOC	Q99972	4653	MYOC
X16561.9	2289	0.0384893393873173	0.0362072730979771	0.287882997419822	Alpha-1B-glycoprotein	Alpha-1B-glycoprotein	P04217	1	A1BG
X16583.8	2289	0.0868004059749662	0.036961511723624	0.0189400941630224	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	AP4A	P50583	318	NUDT2
X16585.16	2246	0.0136468780572072	0.0340207723070154	0.688360387507707	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4	B3GN4	Q9C0J1	79369	B3GNT4
X16591.71	2291	-0.0244747043509687	0.034257135699661	0.475028273828579	Acidic mammalian chitinase	CHIA	Q9BZP6	27159	CHIA
X16593.3	2280	-0.014750229139899	0.0354014395148035	0.67696966005247	FAS-associated death domain protein	FADD	Q13158	8772	FADD
X16594.44	2282	-0.0359778144821646	0.0376293809737249	0.339119505381594	Fas apoptotic inhibitory molecule 1	FAIM1	Q9NVQ4	55179	FAIM
X16596.25	2259	0.0899955398625655	0.0374361125931554	0.0162990043000736	Glutaredoxin-3	GLRX3	O76003	10539	GLRX3
X16597.11	2283	-0.00194231067867458	0.0368356191336558	0.957952394192489	Glutaredoxin-related protein 5, mitochondrial	GLRX5	Q86SX6	51218	GLRX5
X16599.38	2259	0.0308773846989308	0.0377308309339571	0.41323944387576	GPN-loop GTPase 1	GPN1	Q9HCN4	11321	GPN1
X16605.2	2262	0.0269463506783469	0.0376411922730657	0.474144075173887	Complement C1q and tumor necrosis factor-related protein 9A	C1T9A	P0C862	338872	C1QTNF9
X16606.85	2292	0.0014776590167193	0.0349182306819159	0.966249176295298	Aldose reductase	Aldose reductase	P15121	231	AKR1B1
X16607.78	2269	-0.0585656305211719	0.037605282135751	0.11952221141514	Gelsolin	Gelsolin	P06396	2934	GSN
X16609.106	2282	-0.00680134206346132	0.037385059080891	0.855656596870883	Kin of IRRE-like protein 2	KIRR2	Q6UWL6	84063	KIRREL2
X16610.13	2295	0.00468996706864622	0.0347249460938279	0.892576080815521	Low-density lipoprotein receptor-related protein 10	LRP10	Q7Z4F1	26020	LRP10
X16612.28	2284	0.0262028111346475	0.0371315250988975	0.480462855671496	Syndecan-3	SDC3	O75056	9672	SDC3
X16613.3	2266	-0.0101284743080725	0.0378127885242032	0.788833006905616	Cadherin-17	CAD17	Q12864	1015	CDH17
X16614.27	2277	0.0418581268551653	0.0370513420982498	0.258709350133413	R-spondin-1	RSPO1	Q2MKA7	284654	RSPO1
X16616.137	2159	0.00992145561743134	0.0387367914295687	0.797879175996383	Beta-enolase	ENOB	P13929	2027	ENO3
X16618.7	2280	-0.030566484874282	0.0369891823744544	0.408685967591444	Early activation antigen CD69	CD69	Q07108	969	CD69
X16620.26	2279	0.0148826832987926	0.0368599579882913	0.68642548880332	Lymphocyte antigen 75	LY75	O60449	100526664	LY75
X16621.77	2268	-0.0125805726248873	0.0373863918327414	0.736524370034958	NAD(P)H-hydrate epimerase	AIBP	Q8NCW5	128240	NAXE
X16746.12	2249	-0.0318472276047055	0.0369612884580062	0.388980236928834	Activin B	Activin B	P09529	3625	INHBB
X16748.1	2178	0.011577008762005	0.0380433266152528	0.760920336700604	Bone morphogenetic protein 3	BMP-3	P12645	651	BMP3
X16749.79	2262	0.0648976990141606	0.0376018242730939	0.0845004614586563	Growth/differentiation factor 10	BMP-3b	P55107	2662	GDF10
X16751.15	2240	0.0466769541685104	0.0376089739201841	0.214696105896933	Natriuretic peptides B	BNP	P16860	4879	NPPB
X16753.46	2285	0.0435094538593262	0.037549910030722	0.246697184675057	Collagen alpha-2(VI) chain	CO6A2	P12110	1292	COL6A2
X16754.40	2255	0.0255678184284189	0.0354218779139774	0.470488000682929	Peripheral plasma membrane protein CASK	CSKP	O14936	8573	CASK
X16755.195	2250	-0.0221806491824622	0.0379287859800121	0.558743517644628	Growth/differentiation factor 3	GDF-3	Q9NR23	9573	GDF3
X16756.30	2293	0.00469515720928387	0.0353174095875032	0.894251296031806	Growth/differentiation factor 7	GDF7	Q7Z4P5	151449	GDF7
X16758.96	2188	0.0400030896465349	0.0348563068235861	0.251237398808063	Hepatoma-derived growth factor	HDGF	P51858	3068	HDGF
X16763.11	2264	0.045387547170301	0.0377050749106773	0.228813162177465	Leukocyte cell-derived chemotaxin-2	LECT2	O14960	3950	LECT2
X16765.52	2230	-0.00921272367026711	0.0339229268555947	0.785971940927772	Platelet basic protein	PBP	P02775	5473	PPBP
