Analytes	EntrezGeneSymbol
X13553.4	DCUN1D3
X13554.78	REPIN1
X13556.28	HTR2A
X13557.3	NECTIN3
X13561.5	HTR6
X13563.259	ACBD7
X13565.2	RBL2
X13566.2	SSU72
X13568.30	PSMD4
X13570.43	HDLBP
X13572.43	PSMD11
X13573.5	ARPC3
X13574.50	RND1
X13575.40	DVL2
X13576.15	GSTP1
X13577.25	U2AF2
X13578.98	ABLIM3
X13580.2	UAP1
X13583.19	APAF1
X13587.10	RACGAP1
X13588.11	ANXA9
X13589.10	APBB3
X13590.1	REXO2
X13591.31	PRIM1
X13594.158	GGA1
X13595.20	THTPA
X13596.3	RAB27B
X13597.20	RAB31
X13599.15	RABEPK
X13602.6	SNU13
X13603.7	RFESD
X13604.27	NEURL1
X13605.16	ANXA10
X13609.11	GTF2I
X13610.9	MAGEA10
X13612.7	CYTIP
X13613.23	AK5
X13615.60	NCK2
X13618.15	MAD1L1
X13620.10	GET3
X13621.31	AP2A2
X13622.16	PPP2R5A
X13623.4	KMT2D
X13624.17	NADK
X13625.19	SSB
X13628.58	GRB14
X13629.25	ATG4B
X13631.1	RBBP5
X13632.10	ZYX
X13634.209	PIR
X13636.20	NAP1L1
X13639.101	USO1
X13640.5	BCL6
X13642.90	IFIT3
X13644.30	HGS
X13645.14	DHX38
X13650.11	KCNIP1
X13651.54	ZFP91
X13652.2	TOM1L1
X13653.335	MACROD1
X13654.1	ROCK2
X13655.34	NCL
X13657.2	PNKP
X13658.31	PDGFC
X13659.36	ATP13A1
X13660.76	ANGPT2
X13661.193	CST5
X13663.2	IL4
X13665.35	PPP2R3A
X13666.222	CA10
X13668.44	TYRO3
X13669.6	FGFR3
X13670.81	PLA2G2E
X13671.40	ELANE
X13672.3	HSPA6
X13673.21	CCT7
X13676.46	INHBB
X13678.169	CFD
X13680.3	NAB2
X13681.173	CSNK2A2
X13682.47	CSF1R
X13686.2	IL5RA
X13687.5	CCL1
X13688.2	CAPSL
X13689.2	ODC1
X13690.26	BGN
X13691.10	SLC5A8
X13692.154	CCN4
X13693.5	CDNF
X13694.24	CRLF2
X13697.51	GPD1
X13698.28	KIAA0319L
X13699.6	KLK3
X13700.10	ANXA2
X13701.2	CXCL13
X13704.5	HMGCS2
X13706.12	IL12RB1
X13707.27	SPARCL1
X13708.56	KLK8
X13710.6	SERPING1
X13711.10	CLTC
X13712.104	GZMA
X13717.15	FCN2
X13719.19	PAK4
X13720.95	PRTN3
X13722.105	C9
X13723.6	IL10
X13724.27	FGF19
X13725.3	FGF16
X13726.4	CD80
X13727.44	SPOP
X13728.19	ERP29
X13729.26	SFXN5
X13730.18	CTSC
X13731.14	C7
X13732.79	CTF1
X13733.5	IL12B
X13734.22	IFNL1
X13735.1	RAP1GAP
X13738.8	INHBA
X13739.3	FLRT1
X13740.51	FRZB
X13741.36	IGFBP1
X13742.66	IL22
X13743.56	CUL4B
X13744.37	IL3RA
X13745.10	PKD2
X13747.9	CA6
X13748.4	CCL8
X13924.13	MYZAP
X13926.1	RMI1
X13929.27	CROT
X13930.3	APOBEC3G
X13931.22	PSMD9
X13932.45	ARHGEF7
X13933.276	NAB1
X13934.3	MCF2L
X13936.24	PGK2
X13937.75	CAND1
X13939.14	UGP2
X13940.19	IFI16
X13941.82	FARS2
X13942.140	SPSB1
X13943.38	DPY30
X13944.3	SULT1A3
X13946.8	DDX23
X13947.371	NUDT12
X13948.50	GABBR2
X13950.9	CERT1
X13954.9	GNPNAT1
X13955.33	DAPK1
X13958.5	RBM46
X13959.7	LAP3
X13960.15	AGAP3
X13961.18	KIF3A
X13963.7	TOLLIP
X13966.30	MYOM3
X13967.14	TXNRD1
X13969.24	KPNA6
X13972.4	HSD17B14
X13973.62	TTL
X13975.56	PPFIA1
X13976.9	ARHGEF1
X13977.28	BARD1
X13978.122	TBX3
X13979.3	SLC26A7
X13982.33	RGS18
X13983.27	CRYZ
X13984.23	DDX25
X13985.12	SMURF2
X13986.6	LANCL1
X13988.67	NMRAL1
X13990.1	PC
X13991.47	EIF4G3
X13992.12	NSF
X13993.20	EPB41L1
X13994.1	FBL
X13996.16	PPCDC
X13998.26	ADSS1
X14002.18	DOCK9
X14005.2	CHD7
X14006.36	GNMT
X14007.22	PAPSS1
X14008.22	DCP1A
X14009.65	TNFAIP3
X14011.17	S100A11
X14012.17	DHX58
X14013.11	TANK
X14019.73	EVPL
X14021.81	MED4
X14022.17	IL17B
X14023.84	IBSP
X14024.196	EDA
X14025.18	TNFRSF9
X14026.24	IL17F
X14028.22	PIK3C2A
X14029.42	COPS2
X14030.21	TNFSF4
X14031.18	FGF7
X14032.2	VEGFA
X14034.22	TACSTD2
X14035.13	TIAM1
X14036.116	MPDZ
X14037.18	RANBP3
X14038.130	CST7
X14039.33	KLK5
X14041.13	GZMB
X14042.11	SFRP1
X14043.12	EEA1
X14045.12	NCOA2
X14047.78	BDNF
X14048.7	IL1RAP
X14049.17	IL7
X14050.61	EFNA4
X14051.54	FOXC2
X14052.26	UNC13A
X14054.17	IL15RA
X14056.4	CGA
X14057.68	TNFSF15
X14061.48	TNFSF11
X14063.17	OSM
X14064.21	PGLYRP1
X14065.11	CD5
X14066.49	MAGI2
X14067.6	PKP2
X14068.29	CCL25
X14069.61	CA4
X14070.56	ITSN1
X14073.31	HPX
X14074.2	SHC2
X14076.74	CST4
X14077.6	FCN3
X14078.69	XCL1
X14079.14	IL18R1
X14081.5	ULBP1
X14082.56	TLN2
X14083.25	SEPHS1
X14085.28	IL13
X14086.11	SMPDL3A
X14088.38	IGFBP6
X14090.23	DEF6
X14091.42	CBR3
X14093.10	FLT3LG
X14094.29	HBEGF
X14095.1	KLRK1
X14097.86	CHST15
X14098.28	CARS1
X14099.20	PSMA4
X14100.63	C1QC
X14101.2	CNTFR
X14102.6	GNLY
X14103.12	TPSG1
X14104.1	TRIL
X14105.5	SERPINA4
X14106.46	RAP1GDS1
X14107.1	MTHFS
X14108.15	TGFB1
X14109.15	CCL15
X14110.200	SPARC
X14111.15	THBS2
X14112.40	RELT
X14114.18	PIANP
X14115.34	ADM
X14116.129	S100A4
X14120.2	RNF43
X14121.24	TNFRSF10D
X14122.132	ZNRF3
X14123.34	VSIR
X14124.6	EFNA2
X14125.5	APOM
X14127.240	IFNB1
X14128.121	IFNA10
X14129.1	IFNA7
X14131.37	EFNB2
X14132.21	HHLA2
X14133.93	IL1R2
X14134.49	AMIGO2
X14135.3	RXFP1
X14136.234	CD93
X14139.16	NRG4
X14143.8	H2BC21
X14144.3	H2AW
X14146.92	H3C1
X14148.2	ISG15
X14149.9	IL36B
X14150.7	IL36A
X14151.4	ISG15
X14153.8	EFNA3
X14156.33	YWHAB
X14157.21	YWHAE
X14158.17	ANXA5
X14178.18	CDKN3
X14186.13	RFFL
X14192.31	PDCL2
X14197.2	PRDM1
X14203.3	ANXA7
X14204.55	FOXJ2
X14205.6	HEXIM2
X14206.28	APBB1
X14208.3	RBP7
X14226.120	BHMT2
X14227.21	MYL6B
X14229.5	MOCS3
X14237.1	HSPA1A
X14245.195	SNX7
X14246.50	DOK2
X14249.68	MID2
X14250.115	BLMH
X14254.27	PTPN4
X14260.112	NET1
X14268.4	SRXN1
X14271.23	RAB6B
X14273.19	PREP
X14283.12	RAB14
X14286.2	NFATC1
X14287.6	RAB5C
X14291.53	AGAP2
X14294.61	MBD1
X14309.8	HNRNPH1
X14314.6	PPIL2
X14318.1	VPS29
X14324.52	SMC3
X14326.4	UBE2E1
X14329.4	DIDO1
X14331.262	DYNLT1
X14332.3	RALA
X14334.3	RCVRN
X14337.1	TRAPPC3
X14341.8	DIPK1C
X14583.49	MSTN
X14587.16	GDF11
X14593.152	FAM210A
X14597.5	SEMA6C
X14599.18	STAB1
X14603.51	KIAA0040
X14614.41	NCMAP
X14615.46	KRTAP2-4
X14616.16	ZNF382
X14618.26	VOPP1
X14619.8	ZNF526
X14623.26	SUMO3
X14624.51	CTCF
X14628.72	FBXO3
X14631.22	DUSP16
X14633.26	TMEM185A
X14634.13	LHCGR
X14645.253	GSTA4
X14655.1	DNAJC17
X14662.6	MZF1
X14663.44	RNF8
X14670.1	SKIL
X14674.63	PACSIN3
X14675.20	EIF4B
X14684.17	CAPN2
X14685.17	AKT2
X14687.6	PLIN3
X14688.6	PTPN7
X14689.3	SEC13
X14692.3	ZNF276
X14696.45	TPSB2
X14703.6	PROK1
X14705.1	VEGFD
X14708.59	C8G
X14711.27	CST6
X14713.46	AZU1
X14747.9	CRLF1
X14748.31	ARHGAP5
X14755.4	LTF
X14756.29	ICAM2
X15297.3	S100A3
X15298.199	NETO1
X15299.102	MESD
X15300.66	CCDC134
X15301.24	ACRV1
X15303.63	S100A5
X15304.1	REG3A
X15305.7	SCGN
X15306.20	JCHAIN
X15308.108	VWC2
X15310.61	PRC1
X15312.14	AGO1
X15313.28	MAD2L1
X15314.49	CLIC4
X15315.64	CUTC
X15316.262	TXNL4B
X15318.75	S100A10
X15319.226	CCNA1
X15321.8	CPLX2
X15322.35	CRADD
X15323.112	AGO3
X15324.58	FTL
X15325.14	GAP43
X15326.64	GBP1
X15331.47	RBBP4
X15333.11	SDF2
X15336.7	SELENOM
X15339.32	CFL2
X15343.337	KNG1
X15346.31	IFNG
X15347.12	HPX
X15358.28	SCG5
X15361.37	ANKRD1
X15363.32	APOA5
X15364.101	APOC1
X15365.41	ADGRB3
X15367.38	BPIFB1
X15368.3	BMPER
X15370.5	BOLA1
X15372.43	BRD2
X15375.49	CPB1
X15376.134	CTSE
X15381.45	DDR2
X15383.200	EDN3
X15384.15	KL
X15385.116	FABP2
X15386.7	FABP4
X15387.44	NRP2
X15388.24	FCGR3A
X15389.1	FXN
X15390.3	GAL
X15391.114	GAS6
X15394.79	UNC5B
X15395.15	GSTM1
X15398.2	GFER
X15402.2	ID1
X15403.53	ID2
X15404.3	IFNA21
X15405.23	IFNA4
X15412.40	BIRC7
X15413.3	LCAT
X15414.316	LDHA
X15416.54	LYG2
X15417.3	SERPINB5
X15418.25	MAPK10
X15419.15	MMP20
X15422.12	PMP2
X15426.5	NEU1
X15427.35	LOXL3
X15430.165	OPTC
X15431.31	OTC
X15432.1	OTOR
X15433.4	SRC
X15434.5	PNOC
X15435.4	PNP
X15436.40	RAMP1
X15437.11	RAMP3
X15439.21	RND3
X15440.57	PCSK2
X15441.6	GM2A
X15444.45	SERPINB4
X15446.25	NRG1
X15447.45	SORD
X15448.47	SQSTM1
X15449.33	TIMD4
X15452.5	NT5E
X15453.3	AMBP
X15455.40	ADAM15
X15457.14	ANPEP
X15460.9	DPP4
X15462.28	CD8A
X15465.79	CNPY4
X15466.30	COL9A1
X15467.10	CTHRC1
X15468.14	CFHR1
X15470.11	HEXB
X15471.29	PNLIPRP2
X15472.16	LRP11
X15474.7	PIN1
X15475.4	PLTP
X15476.6	REG3G
X15480.2	VNN2
X15481.45	CAMP
X15482.12	A2ML1
X15483.377	AGRN
X15486.126	AOC1
X15487.164	CES1
X15491.20	CD248
X15492.1	CRIM1
X15494.11	FGFBP1
X15495.9	FOLR3
X15497.9	HS3ST1
X15499.11	ATRN
X15503.15	LEFTY2
X15503.20	LEFTY2
X15504.39	BIRC7
X15506.34	LRP12
X15509.2	NAGLU
X15511.37	NPTXR
X15513.108	PRSS8
X15514.26	BCHE
X15515.2	SAA1
X15516.12	SAA4
X15521.4	CLSTN1
X15522.2	GLIPR2
X15523.9	ALAD
X15524.30	PGAM2
X15525.294	ADH1C
X15526.33	GSS
X15527.90	DLD
X15530.33	EPHB4
X15533.97	MSR1
X15534.26	MDH2
X15535.3	PRSS27
X15539.15	SLITRK1
X15540.6	VIM
X15542.19	CKMT1A
X15544.25	KLK14
X15545.13	PPP3R1
X15553.22	ACHE
X15556.49	AMY2B
X15558.63	ENPEP
X15559.5	ANTXR2
X15560.52	TCN2
X15562.24	GUSB
X15565.102	MUC16
X15566.10	CNN1
X15567.2	CD247
X15569.15	COL2A1
X15570.99	CR2
X15573.110	NCAN
X15574.37	CCNA2
X15576.158	RNASE3
X15579.26	ENPP6
X15580.2	EPHA7
X15581.16	FANK1
X15582.25	FCN1
X15583.18	FCRLB
X15584.9	CFHR2
X15585.304	FBLN5
X15587.20	FOLR2
X15588.17	GLA
X15589.1	GC
X15591.28	GPX1
X15594.47	HTRA1
X15596.7	HEXIM1
X15602.43	IL6R
X15603.20	ITGA2
X15604.18	MAPK9
X15606.19	KRT19
X15607.56	PKLR
X15608.5	RPS6KB1
X15610.72	LAP3
X15612.5	LIN7B
X15613.16	PNLIP
X15614.168	LILRA2
X15615.8	LILRB3
X15617.8	XCL2
X15619.49	MOG
X15620.4	NLGN1
X15622.13	OPCML
X15623.1	PDCD1
X15626.223	HSPG2
X15627.83	AKT1
X15631.18	PSG1
X15634.139	SLIT1
X15635.4	SMOC2
X15636.49	SORCS1
X15637.38	SORCS3
X15640.54	TAGLN
X15641.20	TMEFF1
X15644.1	BTD
X15653.9	COL10A1
X15666.21	BMP2
X15667.39	BMP4
X15668.19	BMP8B
X15669.7	BRAF
X15670.15	C1QL2
X15674.3	CD79A
X15675.3	CEBPB
X15678.71	DKK2
X15686.49	INHBC
X15688.30	LMAN1
X15692.300	NODAL
X15693.9	PGR
X15698.6	TXLNA
X16015.19	GPT
X16035.8	FLT4
X16043.30	SHC1
X16055.3	CFHR5
X16057.6	IGF2R
X16060.99	NID2
X16070.7	WIF1
X16074.12	GRAP2
X16079.2	TEC
X16081.38	AKR1B10
X16288.17	EPHA4
X16292.288	GIP
X16293.1	GHRH
X16296.43	LGR5
X16297.14	ROBO4
X16298.84	PLA2G2D
X16300.4	TREM2
X16302.11	BPIFA2
X16304.6	LGR4
X16307.22	UNC5D
X16308.14	BTLA
X16309.30	DKKL1
X16312.45	CDH6
X16315.105	FLT1
X16317.20	DSG3
X16318.12	ACVRL1
X16320.139	CD320
X16322.10	MZB1
X16323.8	NRXN3
X16324.38	TLR1
X16536.3	HMGA1
X16551.14	STAT5B
X16558.2	MYOC
X16561.9	A1BG
X16583.8	NUDT2
X16585.16	B3GNT4
X16591.71	CHIA
X16593.3	FADD
X16594.44	FAIM
X16596.25	GLRX3
X16597.11	GLRX5
X16599.38	GPN1
X16605.2	C1QTNF9
X16606.85	AKR1B1
X16607.78	GSN
X16609.106	KIRREL2
X16610.13	LRP10
X16612.28	SDC3
X16613.3	CDH17
X16614.27	RSPO1
X16616.137	ENO3
X16618.7	CD69
X16620.26	LY75
X16621.77	NAXE
X16746.12	INHBB
X16748.1	BMP3
X16749.79	GDF10
X16751.15	NPPB
X16753.46	COL6A2
X16754.40	CASK
X16755.195	GDF3
X16756.30	GDF7
X16758.96	HDGF
X16763.11	LECT2
X16765.52	PPBP
X16768.3	JUP
X16769.20	RAC3
X16770.3	REG1B
X16773.29	SCUBE3
X16780.6	HSPA1A
X16781.2	ENGASE
X16785.45	DEFA5
X16792.4	SIGLEC5
X16802.31	OCIAD1
X16803.4	CALB2
X16807.35	TNNT3
X16809.1	NME4
X16810.3	GDI1
X16814.13	FHL1
X16818.200	CDCP1
X16823.75	APOL3
X16825.20	ATXN3
X16828.8	COL6A1
X16831.7	DOK1
X16836.1	CFHR3
X16845.15	MPZL1
X16847.39	RAB3B
X16850.5	RGS5
X16851.50	SCO2
X16852.10	PDZK1
X16853.5	NMRK1
X16854.17	LSM4
X16856.79	MAPRE2
X16857.2	RAB2A
X16858.384	RCN3
X16859.100	SH3GLB1
X16863.47	NANP
X16865.62	TAF15
X16867.76	CDK16
X16872.248	GSTZ1
X16875.13	MAGOHB
X16877.19	MSRB2
X16882.27	PHPT1
X16883.57	RAB4A
X16885.49	MAPRE3
X16887.29	PTRH2
X16890.37	ADAMTSL1
X16892.23	ENPP2
X16899.59	OSBPL9
X16900.29	MDGA1
X16902.17	LAMP1
X16907.3	CADM2
X16908.5	OMG
X16913.8	RNASET2
X16914.104	CD14
X16915.153	SEMA4A
X16916.19	SLITRK6
X16918.198	TLR3
X16919.1	DBI
X16922.53	PLXNB3
X16923.20	PFN2
X16926.44	ALPL
X16927.9	F13A1|F13B
X16932.5	SULT1E1
X17138.8	GSTA1
X17140.57	PDGFD
X17145.1	S100A8|S100A9
X17148.7	BLVRB
X17151.84	IRF3
X17152.10	KIR2DS4
X17153.46	KIR2DL3
X17154.2	PTGES3
X17156.72	DCLK1
X17158.17	UBE2G1
X17161.1	DDOST
X17164.15	ANXA4
X17165.1	PPBP
X17166.4	FGF8
X17170.15	CALCB
X17172.19	STATH
X17175.5	MAP2K6
X17176.13	PSIP1
X17195.43	BAG1
X17196.5	CLPP
X17199.43	HIF1AN
X17200.50	KIR2DL1
X17202.37	PDCD4
X17204.17	PNMT
X17205.21	RAB5A
X17209.27	SULT2B1
X17210.2	TCL1A
X17224.12	OGN
X17231.1	LCP1
X17319.1	SELENOH
X17320.19	AASDHPPT
X17325.10	GUK1
X17326.44	DUSP23
X17327.3	CNPY3
X17329.2	BDH2
X17331.138	KREMEN1
X17332.3	ADPRS
X17333.20	ACADM
X17335.18	VAMP2
X17336.54	CREB3L2
X17337.1	YY1
X17341.89	ACAT2
X17342.13	AGR3
X17343.6	SNPH
X17344.23	STOML1
X17345.12	ZADH2
X17346.61	FDCSP
X17347.80	AIDA
X17348.5	SYNJ2BP
X17350.13	CHMP2B
X17355.56	SYT4
X17356.34	IL1F10
X17357.33	SEPSECS
X17362.5	VHL
X17364.8	SNRPB2
X17365.7	KYAT1
X17366.6	DCUN1D1
X17367.5	STMN1
X17370.186	ABHD10
X17372.5	EIF4EBP1
X17377.1	AKR1C3
X17380.2	UBE2K
X17383.4	STARD5
X17384.110	PFKM
X17387.27	NFKBIB
X17391.10	RBM17
X17393.13	ACADS
X17396.23	ADH1A
X17397.8	HSD17B11
X17398.55	HMOX1
X17400.71	ACOT8
X17403.14	ACADSB
X17404.5	ARL5B
X17405.2	UCHL5
X17408.2	PMM1
X17410.5	CETN3
X17411.55	UFD1
X17419.17	TES
X17427.26	NLGN3
X17432.25	AK4
X17435.43	ETFA
X17436.193	CSNK1G2
X17441.4	ALPI
X17447.52	SFRP4
X17449.23	CD9
X17450.51	HARS1
X17453.34	CP
X17454.15	EGFL6
X17455.42	FOLR1
X17456.53	GOLM1
X17460.51	MX1
X17462.19	IRF1
X17466.72	ACSF2
X17467.1	DHRS9
X17468.1	SUFU
X17474.106	YEATS4
X17475.18	PBK
X17490.4	SH3BGRL3
X17495.141	SIRT3
X17505.125	NAALADL1
X17509.6	HPD
X17510.7	SRP14
X17511.10	RPP30
X17512.2	NMI
X17513.11	ANXA11
X17514.48	RAB21
X17516.7	RAB3A
X17671.58	ING4
X17672.184	CBLIF
X17673.34	CA5B
X17675.17	ACOT13
X17676.13	TRIP10
X17678.28	VSIG4
X17680.12	EPHB1
X17682.1	CD46
X17683.2	COMMD9
X17685.9	APOA4
X17686.27	TBCB
X17691.1	TPP1
X17692.2	BTN3A3
X17693.2	SEPTIN6
X17694.32	PSME2
X17696.1	TICAM2
X17697.2	OVCA2
X17698.15	WBP2
X17699.43	TIMELESS
X17702.53	UGT1A1
X17703.40	GMNN
X17704.74	HSPH1
X17706.4	PPP1R1A
X17711.13	VAMP1
X17712.7	IDI1
X17721.82	GAS7
X17722.5	FKBP4
X17724.3	WWOX
X17725.37	USH1C
X17726.3	SAR1A
X17727.1	PTTG1
X17728.61	CHMP2A
X17729.20	UBE2S
X17734.13	ENSA
X17735.130	GABARAP
X17736.105	APTX
X17737.7	IVD
X17738.7	CRNN
X17739.1	HADH
X17742.2	RRAS
X17743.14	UBE2A
X17744.31	RAB11A
X17746.77	FIS1
X17748.21	TP53I3
X17750.8	RRM2
X17751.68	CRYBB1
X17752.24	ARG2
X17755.5	UGDH
X17756.69	DCTD
X17757.86	CAB39
X17758.79	DCXR
X17760.128	WDR5
X17761.2	NUDT5
X17764.108	RHOC
X17765.3	SNUPN
X17766.5	NCF1
X17768.50	HAO1
X17769.28	PCNP
X17770.42	EMC8
X17771.35	CRCP
X17772.7	UBD
X17773.26	NAPG
X17774.38	SNRPD3
X17775.8	TAGLN3
X17776.15	PECR
X17777.31	SDSL
X17778.19	RAB32
X17781.191	MAP1LC3A
X17782.23	ACAA1
X17783.9	MMAB
X17784.23	GMFB
X17785.11	DNPH1
X17786.5	GGPS1
X17787.1	ECHS1
X17789.1	QPRT
X17791.25	HPCAL1
X17792.158	ALDH5A1
X17793.4	DIRAS1
X17794.6	PMM2
X17795.176	LSM1
X17796.15	IMPA1
X17797.1	CUL1
X17799.9	PGLS
X17800.33	SCAND1
X17802.4	NANS
X17804.102	PNPO
X17805.35	SMNDC1
X17806.6	SDCBP
X17808.37	NIT2
X17811.78	SULT1C2
X17812.2	PTP4A1
X17813.21	BPHL
X17814.8	BPNT1
X17816.58	NCALD
X17817.22	DDIT4
X17818.22	SUGT1
X17819.30	FAHD1
X17820.170	MLF1
X17821.20	NMT2
X17822.57	RERG
X17823.40	SNRPD2
X17826.341	EEF1D
X17827.53	DYNLRB2
X17828.3	S100A14
X17829.2	TREX2
X17832.12	IDI2
X17835.28	ANXA13
X17836.17	S100A16
X17837.5	CLIC2
X17843.30	PPCS
X17849.6	DRG1
X17850.42	KLF4
X17852.5	PPME1
X17854.33	NAA10
X17855.28	RGS4
X17856.23	NT5M
X17857.6	ACADL
X18156.7	ATG3
X18158.45	CASP8
X18160.2	PCMT1
X18162.167	IRAK4
X18165.181	UBE2V2
X18166.4	RHOB
X18170.46	PYCR1
X18171.25	CXCL11
X18172.71	ASF1A
X18173.11	AKR7A3
X18174.79	PDCD6IP
X18175.65	VAT1
X18177.49	NAE1
X18178.13	SARS1
X18179.56	SMS
X18180.58	RTN4IP1
X18181.2	TSSC4
X18182.24	PCK1
X18183.3	LDLRAP1
X18184.28	GMPS
X18185.118	ALDOB
X18186.15	TARS1
X18187.16	ASPA
X18188.12	GATM
X18189.12	VPS25
X18190.15	CARD18
X18191.23	RANBP1
X18192.69	MAGEA5
X18193.165	MORF4L1
X18194.18	FABP9
X18195.3	LTO1
X18196.8	AFM
X18197.97	CKMT2
X18198.51	HBQ1
X18202.22	CD37
X18203.9	CRYGC
X18204.1	TCEA1
X18205.123	MAGEA6
X18206.18	ADH6
X18207.6	CHMP1B
X18208.3	CCNB2
X18210.12	SPIN1
X18212.43	GSTM5
X18213.30	UBE2F
X18214.2	GCLM
X18215.5	THG1L
X18216.22	IL11RA
X18218.48	CNRIP1
X18220.141	SRA1
X18222.34	SH3GLB2
X18224.11	CHMP1A
X18225.13	HEBP1
X18226.148	COX5A
X18227.3	CDK2AP2
X18228.30	NOP16
X18231.147	PRND
X18232.42	PIP4K2B
X18233.10	GOT2
X18235.16	PGP
X18236.3	LGALSL
X18237.29	NRIP3
X18240.6	OMP
X18241.18	CPOX
X18242.8	SPA17
X18243.9	CMPK1
X18244.1	ANXA7
X18253.8	SSBP1
X18255.6	CYB5R1
X18257.64	SRP19
X18259.15	MEOX2
X18261.34	NATD1
X18264.12	CCDC25
X18265.18	ZNF34
X18267.74	CARD17
X18268.5	GAGE2A
X18270.10	TAF10
X18271.43	OXSM
X18273.14	GAGE2D
X18274.2	SERF2
X18275.5	CRIP1
X18276.34	TCL1B
X18277.28	TRIAP1
X18280.29	DTD2
X18282.1	GNG11
X18284.77	WWC1
X18285.6	SVIP
X18286.3	ZWINT
X18289.16	CCL15
X18290.6	ANXA8
X18291.8	CDKN1A
X18294.26	SOX2
X18295.102	GRHPR
X18297.8	MRAS
X18299.13	CAPNS1
X18300.39	PURB
X18301.10	NAIF1
X18302.204	ZWILCH
X18303.39	NRGN
X18304.19	BCCIP
X18306.1	PALM
X18307.71	PPA2
X18308.30	STXBP6
X18309.18	CS
X18310.26	SELENOW
X18312.68	NDRG3
X18313.4	ASRGL1
X18314.88	PAX8
X18315.38	RTP4
X18316.75	SEPTIN3
X18317.111	ZFAND5
X18318.98	SH3GL3
X18319.7	PDHX
X18321.38	MTHFD2
X18322.15	JMJD6
X18323.39	CRMP1
X18324.61	SUOX
X18326.50	MAGEA8
X18327.6	SNX5
X18328.36	PYCR2
X18329.4	PRPS2
X18330.7	PGM2
X18331.3	GBA
X18332.17	CPLX1
X18337.4	GMDS
X18338.26	IDH1
X18339.207	PSMB3
X18340.2	PSMB4
X18342.2	PSAT1
X18343.10	DECR2
X18347.15	LAMA2|LAMB1|LAMC1
X18348.89	HNRNPD
X18373.13	RDX
X18375.28	IL36RN
X18376.19	MYL3
X18380.78	ALB
X18381.16	ALDH2
X18382.109	COMT
X18385.4	PSMD10
X18386.36	GLRX
X18387.7	ST13
X18389.11	IFNA1
X18392.19	MAT2B
X18395.5	ADPRH
X18396.10	TLE5
X18397.5	AKR1C4
X18398.1	AKR1D1
X18399.1	AKAP7
X18400.52	ALKBH2
X18401.18	ALKBH3
X18402.1	AMMECR1L
X18403.25	AMPD2
X18404.22	ANKRD54
X18405.117	AP1S2
X18407.36	ARL2BP
X18408.26	ARF4
X18409.61	ARF5
X18411.83	ARL15
X18413.24	ARL4D
X18414.26	ARL5A
X18415.16	ARL6
X18416.3	ARL9
X18417.3	AS3MT
X18419.20	ARPC5
X18422.41	MVD
X18429.10	CDH1
X18434.141	TBPL1
X18435.40	UBXN2B
X18449.33	PPIG
X18458.4	PTGES2
X18483.36	RABIF
X18813.15	DDX19A
X18814.21	INHBA|INHBC
X18817.50	CBX1
X18819.21	PPIC
X18821.9	C4A|C4B
X18823.52	H2BU1
X18824.7	EIF4A2
X18829.4	EIF4A1
X18830.1	ITLN1
X18831.6	LRIG1
X18832.65	SAA2
X18833.76	PEA15
X18837.9	SGTB
X18839.24	TG
X18840.205	SH2D1B
X18841.1	SERPINB13
X18842.24	UBE2D2
X18859.7	EIF4EBP3
X18860.2	CAMKK1
X18863.176	CHST2
X18864.7	PRSS3
X18866.8	PPP3R2
X18868.7	CBX3
X18870.1	CD3E
X18871.24	AIF1L
X18873.8	CEACAM8
X18874.66	CEBPA
X18875.125	COL2A1
X18876.77	CHST4
X18877.15	CNN2
X18878.15	GREM1
X18880.81	COL3A1
X18881.7	ADGRE5
X18882.7	CLSTN2
X18883.4	DSTN
X18884.22	DNAJB4
X18886.28	DSCAML1
X18887.7	ENTPD2
X18888.37	FABP12
X18891.98	GBP2
X18892.48	GPC4
X18893.26	ADGRG1
X18894.1	GPX2
X18895.54	GSTM4
X18896.23	HS6ST3
X18897.31	HDAC2
X18898.36	HDGFL1
X18899.82	HDGFL3
X18900.37	HRAS
X18901.26	HSPA1B
X18904.23	CAMK4
X18905.5	KRT16
X18907.97	KIR3DL1
X18909.11	EXOSC8
X18910.45	LIN7A
X18913.3	CCNH
X18914.188	PAFAH2
X18916.25	ITPA
X18917.53	AMY2A
X18918.86	PDE4A
X18921.30	PHEX
X18922.27	CD68
X18925.24	PSMA5
X18926.7	PSMA3
X18928.10	S100Z
X18930.28	SLIT2
X18931.40	SLIT3
X18932.84	NMNAT1
X18933.4	TGM4
X18934.50	TGM2
X18935.14	TLR5
X18938.3	VLDLR
X18942.11	PSMB9
X18945.11	RGS1
X18947.3	LRRC3B
X18950.13	RAC2
X19108.50	MECP2
X19109.32	TCEAL8
X19110.6	MEMO1
X19111.10	UBE2M
X19112.2	TCEAL3
X19113.66	SH3BGRL2
X19114.8	TK2
X19115.13	CMBL
X19116.1	BLOC1S5
X19117.3	PPP1R14A
X19118.47	OSTF1
X19119.10	DDIT3
X19120.33	DAO
X19121.3	UBQLN2
X19122.47	MYL12B
X19123.6	NFKBID
X19124.9	UBLCP1
X19125.26	PRKAR2A
X19126.4	RPRD1B
X19127.1	HSPB6
X19129.15	MTHFSD
X19130.81	SERPINB8
X19131.184	TIAL1
X19132.1	MRPL2
X19134.66	POLR2K
X19135.5	NT5C3B
X19136.22	ALDH6A1
X19139.3	HSF2BP
