SomaID	type	EntrezGeneID	EntrezGeneSymbol	TSS	CHR
X2774.10	cis	3603	IL16	81159575	15
X2778.10	cis	50616	IL22	68248242	12
X2780.35	cis	4057	LTF	46435645	3
X2781.63	cis	9560	CCL4L2	36210924	17
X2789.26	cis	4316	MMP7	102520508	11
X2809.25	cis	9507	ADAMTS4	161184302	1
X2811.27	cis	284	ANGPT1	107249482	8
X2813.11	cis	181	AGRP	67482571	16
X2816.50	cis	4059	BCAM	44809071	19
X2828.82	cis	6692	SPINT1	40844018	15
X2831.29	cis	11012	KLK11	51022216	19
X2834.54	cis	11202	KLK8	50996007	19
X2841.13	cis	2487	FRZB	182833275	2
X2843.13	cis	10653	SPINT2	38244035	19
X2844.53	cis	7075	TIE1	43300982	1
X2848.2	cis	11197	WIF1	65050626	12
X2849.49	cis	199	AIF1	31615217	6
X2888.49	cis	730	C7	40909492	5
X2900.53	cis	6358	CCL14	35983288	17
X2911.27	cis	4192	MDK	46380756	11
X2913.1	cis	6368	CCL23	36013056	17
X2925.9	cis	5054	SERPINE1	101127104	7
X2937.10	cis	348	APOE	44905791	19
X2944.66	cis	4681	NBL1	19596979	1
X2946.52	cis	1675	CFD	859453	19
X2948.58	cis	2690	GHR	42423439	5
X2953.31	trans|cis	1081|3972	CGA|LHB	49015980	19
X2966.65	cis	6320	CLEC11A	50723364	19
X2967.8	cis	7412	VCAM1	100719742	1
X2968.61	cis	9966	TNFSF15	114784652	9
X2977.7	cis	10913	EDAR	108894471	2
X2991.9	cis	3554	IL1R1	102064544	2
X2992.59	cis	23765	IL17RA	17084954	22
X2994.71	cis	8808	IL1RL2	102187006	2
X2998.53	cis	83700	JAM3	134069071	11
X3000.66	cis	4153	MBL2	52765380	10
X3003.29	cis	259197	NCR3	31588895	6
X3004.67	cis	80380	PDCD1LG2	5510531	9
X3007.7	cis	27180	SIGLEC9	51124906	19
X3028.36	cis	6368	CCL23	36013056	17
X3029.52	cis	30835	CD209	7739993	19
X3032.11	trans|cis	1081|2488	CGA|FSHB	30231014	11
X3043.49	cis	6678	SPARC	151661096	5
X3044.3	cis	6362	CCL18	36064272	17
X3046.31	cis	56729	RETN	7669049	19
X3050.7	cis	7450	VWF	5948877	12
X3059.50	cis	10673	TNFSF13B	108251240	13
X3054.3	cis	3240	HP	72054505	16
X3060.43	cis	735	C9	39284140	5
X3066.12	cis	3958	LGALS3	55124110	14
X3074.6	cis	3929	LBP	38346482	20
X3079.62	cis	5919	RARRES2	150338317	7
X3166.92	cis	945	CD33	51225064	19
X3168.8	cis	11096	ADAMTS5	26917922	21
X3169.70	cis	3425	IDUA	986997	4
X3172.28	cis	411	ARSB	78777209	5
X3173.49	cis	27163	NAAA	75913660	4
X3175.51	cis	11093	ADAMTS13	133414358	9
X3177.49	cis	762	CA4	60149942	17
X3179.51	cis	5476	CTSA	45890144	20
X3181.50	cis	1520	CTSS	150730079	1
X3184.25	cis	2155	F7	113105788	13
X3186.2	cis	717	C2	31897785	6
X3191.50	cis	117166	WFIKKN1	629239	16
X3194.36	cis	51206	GP6	55013705	19
X3195.50	cis	10578	GNLY	85685175	2
X3196.6	cis	1404	HAPLN1	83637805	5
X3212.30	cis	56624	ASAH2	50182778	10
X3214.3	cis	8829	NRP1	33177492	10
X3216.2	cis	5284	PIGR	206928522	1
X3218.8	cis	2346	FOLH1	49145092	11
X3220.40	cis	5979	RET	43077064	10
X3232.28	cis	54	ACP5	11574653	19
X3234.23	cis	151887	CCDC80	112596797	3
X3235.50	cis	124857	WFIKKN2	50834650	17
X3283.21	cis	7045	TGFBI	136028988	5
X3290.50	cis	135228	CD109	73695785	6
X3291.30	cis	2208	FCER2	7688758	19
X3292.75	cis	962	CD48	160678746	1
X3293.2	cis	922	CD5L	157830911	1
X3296.92	cis	6900	CNTN2	205042937	1
X3299.29	cis	53942	CNTN5	99020949	11
X3303.23	cis	1474	CST6	66012008	11
X3310.62	cis	2213	FCGR2B	161663143	1
X3311.27	cis	2215	FCGR3B	161623196	1
X3313.21	cis	2220	FCN2	134880810	9
X3314.74	cis	2674	GFRA1	116056925	10
X3316.58	cis	3053	SERPIND1	20774113	22
X3323.37	cis	7804	LRP8	53242364	1
X3324.51	cis	4063	LY9	160796074	1
X3325.2	cis	4147	MATN2	97868840	8
X3327.27	cis	59277	NTN4	95657807	12
X3329.14	cis	8993	PGLYRP1	46019153	19
X3336.50	cis	7035	TFPI	187464230	2
X3339.33	cis	7058	THBS2	169215780	6
X3340.53	cis	7060	THBS4	79991311	5
X3343.1	cis	95	ACY1	51983340	3
X3352.80	cis	765	CA6	8945867	1
X3364.76	cis	1515	CTSV	97029677	9
X3366.51	cis	1893	ECM1	150508062	1
X3367.8	cis	26998	FETUB	186635969	3
X3376.49	cis	54756	IL17RD	57089982	3
X3381.24	cis	4067	LYN	55879835	8
X3396.54	cis	5972	REN	204154819	1
X3403.1	cis	64499	TPSB2	1227272	16
X3415.61	cis	3381	IBSP	87799554	4
X3421.54	cis	944	TNFSF8	114893343	9
X3431.54	cis	2041	EPHA1	143390289	7
X3438.10	cis	10272	FSTL3	676392	19
X3440.7	cis	3001	GZMA	55102646	5
X3445.53	cis	3601	IL15RA	5943639	10
X3446.7	cis	8809	IL18R1	102311529	2
X3448.13	cis	3643	INSR	7112255	19
X3449.58	cis	5267	SERPINA4	94561442	14
X3453.87	cis	4067	LYN	55879835	8
X3457.57	cis	10631	POSTN	37562583	13
X3459.49	cis	5159	PDGFRB	150113839	5
X3461.58	cis	63827	BCAN	156641390	1
X3484.60	cis	183	AGT	230690776	1
X3494.71	cis	8822	FGF17	22042398	8
X3495.15	cis	6372	CXCL6	73836640	4
X3508.78	cis	6367	CCL22	57358783	16
X3509.1	cis	6359	CCL15	35996440	17
X3514.49	cis	5657	PRTN3	840999	19
X3518.54	cis	1361	CPB2	46053186	13
X3519.3	cis	6361	CCL17	57404767	16
X3520.58	cis	7043	TGFB3	75958097	14
X3580.25	cis	5265	SERPINA1	94376747	14
X3581.53	cis	197	AHSG	186613060	3
X3583.54	cis	410	ARSA	50622754	22
X3593.72	cis	836	CASP3	184627696	4
X3600.2	cis	1118	CHIT1	203212827	1
X3603.60	cis	64581	CLEC7A	10116777	12
X3617.80	cis	3083	HGFAC	3441968	4
X3622.33	cis	5641	LGMN	92703807	14
X3623.84	cis	9450	LY86	6588108	6
X3627.71	cis	79258	MMEL1	2590639	1
X3633.70	cis	22795	NID2	52004809	14
X3636.37	cis	4973	OLR1	10158301	12
X3642.4	cis	8832	CD84	160541095	1
X3647.49	trans|cis	7099|23643	TLR4|LY96	73991392	8
X3647.49	cis|trans	7099|23643	TLR4|LY96	117704175	9
X3651.50	cis	3791	KDR	55078481	4
X3666.17	cis	81494	CFHR5	196975010	1
X3676.15	cis	3482	IGF2R	159969082	6
X3710.49	cis	5340	PLG	160702194	6
X3728.52	cis	6343	SCT	626309	11
X3730.81	cis	7293	TNFRSF4	1211326	1
X3773.15	cis	7010	TEK	27109141	9
X3796.79	cis	51129	ANGPTL4	8363289	19
X3798.71	cis	768	CA9	35673928	9
X3805.16	cis	11082	ESM1	54977867	5
X3814.63	cis	3590	IL11RA	34652162	9
X3815.14	cis	3595	IL12RB2	67307364	1
X3858.5	cis	52	ACP1	264140	2
X3894.15	cis	55577	NAGK	71064344	2
X4124.24	cis	3303	HSPA1A	31815543	6
X4125.52	cis	177	AGER	32180968	6
X4126.22	cis	671	BPI	38304150	20
X4127.75	cis	729	C6	41142116	5
X4129.72	cis	629	CFB	31945650	6
X4136.40	cis	53342	IL17D	20702127	13
X4139.71	cis	3570	IL6R	154405193	1
X4152.58	cis	3818	KLKB1	186226438	4
X4153.11	cis	12	SERPINA3	94612384	14
X4154.57	cis	6403	SELP	169588849	1
X4155.3	cis	3371	TNC	115019575	9
X4156.74	cis	7042	TGFB2	218345336	1
X4159.130	cis	3075	CFH	196651754	1
X4160.49	cis	4313	MMP2	55389700	16
X4187.49	cis	5226	PGD	10398592	1
X4188.1	cis	8574	AKR7A2	19303965	1
X4192.10	cis	10327	AKR1A1	45550543	1
X4234.8	cis	9173	IL1RL1	102311502	2
X4250.23	cis	55968	NSFL1C	1442162	20
X4254.6	cis	23386	NUDCD3	44379119	7
X4276.10	cis	5037	PEBP1	118136124	12
X4328.2	cis	91653	BOC	113211003	3
X4336.2	cis	6288	SAA1	18266260	11
X4342.10	cis	3383	ICAM1	10271093	19
X4374.45	cis	9518	GDF15	18374731	19
X4407.10	cis	4485	MST1	49683947	3
X4413.3	cis	6590	SLPI	45252239	20
X4420.7	cis	8038	ADAM12	126012381	10
X4429.51	cis	4166	CHST6	75472052	16
X4435.66	cis	339221	ENPP7	79730943	17
X4436.1	cis	956	ENTPD3	40387184	3
X4437.56	cis	957	ENTPD5	73958010	14
X4459.68	cis	9159	PCSK7	117204337	11
X4467.49	cis	8404	SPARCL1	87473335	4
X4479.14	cis	710	SERPING1	57597387	11
X4481.34	cis|cis	720|721	C4A|C4B	31998426	6
X4487.1	cis	2252	FGF7	49423237	15
X4496.60	cis	4321	MMP12	102862736	11
X4500.50	cis	6320	CLEC11A	50723364	19
X4535.50	cis	683	BST1	15703065	4
X4541.49	cis	50937	CDON	125955796	11
X4543.65	cis	91522	COL23A1	178237476	5
X4546.27	cis	30817	ADGRE2	14732392	19
X4547.59	cis	23769	FLRT1	64035931	11
X4549.78	cis	2527	FUT5	5865826	19
X4556.10	cis	146433	IL34	70579895	16
X4557.61	cis	84623	KIRREL3	126423358	11
X4559.64	cis	8942	KYNU	142877657	2
X4564.2	cis	10154	PLXNC1	94148577	12
X4566.24	cis	340419	RSPO2	107899316	8
X4569.52	cis	57537	SORCS2	7192538	4
X4673.13	cis	3569	IL6	22725884	7
X4696.2	cis	2170	FABP3	31365253	1
X4721.54	cis	7033	TFF3	42311667	21
X4763.31	cis	173	AFM	73481745	4
X4771.10	cis	10924	SMPDL3A	122789049	6
X4775.34	cis	2934	GSN	121207794	9
X4801.13	cis	4025	LPO	58218548	17
X4811.33	cis	3700	ITIH4	52812962	3
X4831.4	cis	6402	SELL	169690665	1
X4834.61	cis	1969	EPHA2	16124337	1
X4874.3	cis	283	ANG	20684177	14
X4886.3	cis	6354	CCL7	34270221	17
X4900.8	cis	718	C3	6677704	19
X4906.35	cis	2153	F5	169511951	1
X4909.68	cis	3964	LGALS8	236518000	1
X4911.49	cis	2950	GSTP1	67583742	11
X4913.78	cis	6360	CCL16	35976493	17
X4917.62	trans|cis	3685|3693	ITGAV|ITGB5	124761948	3
X4918.21	cis	3827	KNG1	186717348	3
X4920.10	cis	4069	LYZ	69348381	12
X4922.13	cis	6363	CCL19	34689570	9
X4924.32	cis	4312	MMP1	102789401	11
X4929.55	cis	6462	SHBG	7613946	17
X4930.21	cis	6781	STC1	23841929	8
X4961.17	cis	302	ANXA2	60347134	15
X4962.52	cis	441549	CDNF	14819245	10
X4964.67	cis	51752	ERAP1	96760810	5
X4968.50	cis	822	CAPG	85394753	2
X4971.1	cis	1522	CTSZ	58985686	20
X4979.34	cis	1805	DPT	168695468	1
X4981.6	cis	1825	DSC3	30989365	18
X4982.54	cis	5266	PI3	45174902	20
X4984.83	cis	2098	ESD	46771256	13
X4991.12	cis	2262	GPC5	91398621	13
X4992.49	cis	2896	GRN	44345246	17
X4996.66	cis	3273	HRG	186660216	3
X5012.67	cis	203	AK1	127866486	9
X5015.15	cis	7941	PLA2G7	46704201	6
X5034.79	cis	5645	PRSS2	142760398	7
X5036.50	cis	7130	TNFAIP6	151357592	2
X5060.62	cis	29126	CD274	5450503	9
X5061.27	cis	23308	ICOSLG	44215382	21
X5065.8	cis	9308	CD83	14117256	6
X5066.134	cis	10871	CD300C	74541073	17
X5069.9	cis	1604	CD55	207321519	1
X5070.76	cis	8771	TNFRSF6B	63696652	20
X5076.53	cis	284656	EPHA10	37713880	1
X5080.131	cis	10457	GPNMB	23235967	7
X5084.154	cis	55540	IL17RB	53846568	3
X5090.49	cis	10859	LILRB1	54616322	19
X5091.28	cis	10288	LILRB2	54273812	19
X5102.55	cis	4277	MICB	31494881	6
X5104.57	cis	9437	NCR1	54906148	19
X5107.7	cis	4851	NOTCH1	136494433	9
X5125.6	cis	100049587	SIGLEC14	51639478	19
X5129.12	cis	8578	SCARF1	1633858	17
X5131.15	cis	55504	TNFRSF19	23570370	13
X5132.71	cis	9466	IL27RA	14031762	19
X5134.52	cis	84868	HAVCR2	157085422	5
X5202.4	cis	5481	PPID	158709127	4
X5231.79	cis	255738	PCSK9	55039447	1
X5238.26	cis	10450	PPIE	39692182	1
X5248.68	cis	10105	PPIF	79347469	10
X5312.49	cis	348	APOE	44905791	19
X5343.74	cis	1363	CPE	165361194	4
X5349.69	cis	28514	DLL1	170282206	6
X5350.14	cis	10082	GPC6	93226807	13
X5351.52	cis	3181	HNRNPA2B1	26171151	7
X5352.11	cis	8764	TNFRSF14	2555639	1
X5355.69	cis	8740	TNFSF14	6661253	19
X5356.2	cis	4282	MIF	23894383	22
X5358.3	cis	4958	OMD	92412380	9
X5363.51	cis	9723	SEMA3E	83363238	7
X5392.73	cis	355	FAS	88953813	10
X5400.52	cis	3953	LEPR	65420652	1
X5424.55	cis	8792	TNFRSF11A	62325287	18
X5430.66	cis	140885	SIRPA	1894167	20
X5456.59	cis	84735	CNDP1	74534500	18
X5457.5	cis	81035	COLEC12	316737	18
X5462.62	cis	8547	FCN3	27369110	1
X5468.67	cis	84818	IL17RC	9917074	3
X5478.50	cis	2346	FOLH1	49145092	11
X5480.49	cis	6352	CCL5	35871491	17
X5483.1	cis	56963	RGMA	93035271	15
X5487.7	cis	57823	SLAMF7	160739057	1
X5491.12	cis	9806	SPOCK2	72059034	10
X5496.49	cis	10418	SPON1	13962723	11
X5508.62	cis	1509	CTSD	1752752	11
X5509.7	cis	1950	EGF	109912883	4
X5542.22	cis	8829	NRP1	33177492	10
X5581.28	cis	2267	FGL1	17864380	8
X5584.21	cis	6948	TCN2	30607003	22
X5594.87	cis	23184	MESD	80946289	15
X5601.2	cis	114770	PGLYRP2	15468645	19
X5605.77	cis	4242	MFNG	37469063	22
X5618.50	cis	54097	FAM3B	41304212	21
X5620.13	cis	5066	PAM	102753981	5
X5621.64	cis	55901	THSD1	52377167	13
X5627.53	cis	2796	GNRH1	25419258	8
X5628.21	cis	56920	SEMA3G	52433035	3
X5630.48	cis	11314	CD300A	74466399	17
X5631.83	cis	4295	MLN	33794673	6
X5634.39	cis	23509	POFUT1	32207855	20
X5635.66	cis	54209	TREM2	41158506	6
X5638.23	cis	79709	COLGALT1	17555649	19
X5644.60	cis	6038	RNASE4	20684560	14
X5646.20	cis	6039	RNASE6	20781268	14
X5648.28	cis	440387	CTRB2	75204103	16
X5656.53	cis	8909	ENDOU	47709734	12
X5657.28	cis	6482	ST3GAL1	133454848	8
X5658.64	cis	2165	F13B	197038741	1
X5659.11	cis	7200	TRH	129974688	3
X5660.51	cis	6649	SOD3	24789912	4
X5675.6	cis	3371	TNC	115019575	9
X5676.54	cis	434	ASIP	34194569	20
X5682.13	cis	114990	VASN	4371848	16
X5691.2	cis	83716	CRISPLD2	84819985	16
X5694.57	cis	64093	SMOC1	69854131	14
X5698.60	cis	7148	TNXB	32041153	6
X5701.81	cis	7123	CLEC3B	45001548	3
X5703.26	cis	10439	OLFM1	135075422	9
X5708.1	cis	116842	LEAP2	132873444	5
X5713.9	cis	282617	IFNL3	39243455	19
X5722.78	cis	5547	PRCP	82822936	11
X5725.1	cis	4958	OMD	92412380	9
X5727.35	cis	145173	B3GLCT	31199975	13
X5728.60	cis	115350	FCRL1	157794403	1
X5731.1	cis	404203	SPINK6	148202794	5
X5736.1	cis	79865	TREML2	41189749	6
X5737.61	cis	10507	SEMA4D	89360787	9
X5738.25	cis	3371	TNC	115019575	9
X5741.55	cis	6037	RNASE3	20891385	14
X5742.14	cis	51205	ACP6	147629652	1
X5749.53	cis	1208	CLPS	35794982	6
X5759.10	cis	1944	EFNA3	155078837	1
X5810.25	cis	6997	TDGF1	46574534	3
X5813.58	cis	2056	EPO	100720468	7
X5834.18	cis	3578	IL9	135892246	5
X5837.49	cis	3977	LIFR	38474668	5
X5897.58	cis	2922	GRP	59220158	18
X5909.51	cis	4830	NME1	51153559	17
X5954.62	cis	5741	PTH	13492054	11
X5982.50	cis	3078	CFHR1	196819731	1
X5992.50	cis	925	CD8A	86784610	2
X6039.24	cis	1393	CRHBP	76953045	5
X6042.52	cis	3371	TNC	115019575	9
X6077.63	cis	51816	ADA2	17178790	22
X6079.59	cis	92370	PXYLP1	141228726	3
X6081.52	cis	26577	PCOLCE2	142815922	3
X6086.15	cis	25884	CHRDL2	74696429	11
X6207.10	cis	5660	PSAP	71816298	10
X6209.2	cis	26	AOC1	150824627	7
X6217.23	cis	5768	QSOX1	180154869	1
X6227.1	cis	5655	KLK10	51012739	19
X6230.56	cis	9350	CER1	14719724	9
X6234.74	cis	5212	VIT	36696690	2
X6236.51	cis	115908	CTHRC1	103371538	8
X6237.11	cis	53834	FGFRL1	1009936	4
X6245.4	cis	5819	NECTIN2	44846175	19
X6247.9	cis	10326	SIRPB1	1561385	20
X6248.68	cis	355	FAS	88953813	10
X6255.74	cis	56265	CPXM1	2794074	20
X6260.14	cis	3371	TNC	115019575	9
X6342.10	cis	255743	NPNT	105894775	4
X6350.43	cis	344	APOC2	44946035	19
X6352.8	cis	3645	INSRR	156840063	1
X6356.3	cis	1360	CPB1	148791102	3
X6359.50	cis	84892	POMGNT2	43079229	3
X6364.7	cis	55080	TAPBPL	6451690	12
X6367.66	cis	2331	FMOD	203340628	1
X6371.50	cis	10218	ANGPTL7	11189355	1
X6373.54	cis	8788	DLK1	100725705	14
X6382.17	cis	4126	MANBA	102630770	4
X6385.63	cis	64856	VWA1	1434861	1
X6392.7	cis	8839	CCN5	44714844	20
X6393.63	cis	7184	HSP90B1	103930107	12
X6402.8	cis	29992	PILRA	100367530	7
X6404.20	cis	10882	C1QL1	44959693	17
X6409.57	cis	221395	ADGRF5	46852522	6
X6414.8	cis	220323	OAF	120211032	11
X6415.90	cis	1370	CPN2	194339768	3
X6431.68	cis	51449	PCYOX1	70257386	2
X6433.57	cis	54757	FAM20A	68535113	17
X6450.8	cis	2172	FABP6	160187367	5
X6451.64	cis	54829	ASPN	92456205	9
X6455.52	cis	404037	HAPLN4	19254756	19
X6462.12	cis	7079	TIMP4	12153068	3
X6467.65	cis	56983	POGLUT1	119468963	3
X6471.53	cis	10877	CFHR4	196888014	1
X6491.59	cis	55554	KLK15	50825289	19
X6493.9	cis	8532	CPZ	8592660	4
X6496.60	cis	8788	DLK1	100725705	14
X6507.16	cis	4685	NCAM2	20998409	21
X6512.68	cis	83999	KREMEN1	29073035	22
X6517.14	cis	2662	GDF10	47300197	10
X6520.87	cis	4256	MGP	14880864	12
X6525.17	cis	51207	DUSP13	75094432	10
X6527.1	cis	9865	TRIL	28953358	7
X6544.33	cis	4745	NELL1	20669551	11
X6546.41	cis	27123	DKK2	106921802	4
X6556.5	cis	59084	ENPP5	46159185	6
X6557.50	cis	131578	LRRC15	194355249	3
X6565.68	cis	64866	CDCP1	45082277	3
X6575.79	cis	92949	ADAMTSL1	17906563	9
X6580.29	cis	5858	PZP	9148840	12
X6583.67	cis	51156	SERPINA10	94280460	14
X6599.5	cis	147495	APCDD1	10454635	18
X6626.81	cis	55501	CHST12	2403588	7
X6629.3	cis	1672	DEFB1	6870592	8
X6645.53	cis	10631	POSTN	37562583	13
X6649.51	cis	9423	NTN1	9021510	17
X6713.4	cis	84918	LRP11	149818757	6
X6897.38	cis	26229	B3GAT3	62615296	11
X6914.15	cis	347902	AMIGO2	47075707	12
X6919.3	cis	3050	HBZ	142728	16
X6920.1	cis	389400	GFRAL	55327469	6
X6923.1	cis	5352	PLOD2	146035139	3
X6930.95	cis	338596	ST8SIA6	17315421	10
X6947.4	cis	10402	ST3GAL6	98732236	3
X6957.14	cis	5408	PNLIPRP2	116620953	10
X7009.8	cis	971	CD72	35609982	9
X7015.8	cis	10990	LILRB5	54249421	19
X7059.14	cis	79168	LILRA6	54236592	19
X7065.1	cis	80739	MPIG6B	31718594	6
X7083.74	cis	8785	MATN4	45293445	20
X7084.1	cis	374946	DRAXIN	11691710	1
X7096.30	cis	51115	RMDN1	86468257	8
X7099.33	cis	56884	FSTL5	161383897	4
X7105.7	cis	81928	CABLES2	62388634	20
X7118.24	cis	9543	IGDCC3	65327127	15
X7128.9	cis	340706	VWA2	114239254	10
X7131.207	cis	3371	TNC	115019575	9
X7141.21	cis	11282	MGAT4B	179797597	5
X7145.1	cis	3699	ITIH3	52794768	3
X7156.2	cis	84750	FUT10	33370824	8
X7161.25	cis	9563	H6PD	9234774	1
X7182.1	cis	1066	CES1	55802851	16
X7185.29	cis	2814	GP5	194394821	3
X7192.37	cis	163702	IFNLR1	24154168	1
X7200.4	cis	57497	LRFN2	40391591	6
X7206.20	cis	2203	FBP1	94603133	9
X7208.60	cis	25834	MGAT4C	85955666	12
X7218.87	cis	482	ATP1B2	7646627	17
X7227.75	cis	1690	COCH	30874514	14
X7228.2	cis	30815	ST6GALNAC6	127885321	9
X7239.9	cis	2944	GSTM1	109687814	1
X7244.16	cis	79713	IGFLR1	35738801	19
X7246.4	cis	341640	FREM2	38687077	13
X7251.64	cis	114899	C1QTNF3	34017858	5
X7266.4	cis	327657	SERPINA9	94462717	14
X7551.33	cis	2615	LRRC32	76657524	11
X7628.40	cis	78987	CRELD1	9933793	3
X7655.11	cis	4879	NPPB	11857464	1
X7693.13	cis	8795	TNFRSF10B	23020133	8
X7696.3	cis	4077	NBR1	43170481	17
X7735.17	cis	5176	SERPINF1	1762029	17
X7757.5	cis	3117	HLA-DQA1	32741391	6
X7761.125	cis	1120	CHKB	50578959	22
X7768.10	cis	1368	CPM	68842197	12
X7775.15	cis	11012	KLK11	51022216	19
X7776.20	cis	219699	UNC5B	71212570	10
X7784.1	cis	3827	KNG1	186717348	3
X7808.5	cis	26035	GLCE	69160584	15
X7810.20	cis	114902	C1QTNF5	119338942	11
X7815.49	cis	347252	IGFBPL1	38406528	9
X7823.22	cis	10610	ST6GALNAC2	76565377	17
X7840.64	cis	5641	LGMN	92703807	14
X7849.3	cis	25797	QPCT	37342827	2
X7857.22	cis	4922	NTS	85874295	12
X7861.9	cis	4920	ROR2	91563091	9
X7866.11	cis	84277	DNAJC30	73680918	7
X7870.8	cis	84735	CNDP1	74534500	18
X7871.16	cis	54972	TMEM132A	60924460	11
X7875.86	cis	5341	PLEK	68365282	2
X7885.17	cis	81494	CFHR5	196975010	1
X7893.19	cis	4973	OLR1	10158301	12
X7905.30	cis	3240	HP	72054505	16
X7909.37	cis	6462	SHBG	7613946	17
X7916.10	cis	6278	S100A7	153457744	1
X7918.114	cis	276	AMY1A	103655519	1
X7920.30	cis	8128	ST8SIA2	92393881	15
X7921.65	cis	24147	FJX1	35618460	11
X7922.5	cis	133	ADM	10305073	11
X7926.13	cis	10816	SPINT3	45512461	20
X7968.15	cis	56253	CRTAM	122838500	11
X7970.315	cis	419	ART3	76011184	4
X7994.41	cis	56605	ERO1B	236214681	1
X7995.16	cis	402117	VWC2L	214411054	2
X8002.27	cis	80975	TMPRSS5	113687547	11
X8005.1	cis	439921	MXRA7	76672551	17
X8007.19	cis	1508	CTSB	11842524	8
X8011.96	cis	390928	ACP7	39083913	19
X8013.9	cis	81562	LMAN2L	96705929	2
X8014.359	cis	79694	MANEA	95577485	6
X8028.22	cis	11005	SPINK5	148025683	5
X8080.24	cis	692094	MSMP	35752990	9
X8081.55	cis	200150	PLD5	242082986	1
X8092.29	cis	3570	IL6R	154405193	1
X8095.213	cis	10105	PPIF	79347469	10
X8097.77	cis	643418	LIPN	88759982	10
X8099.42	cis	10417	SPON2	1166932	4
X8104.21	cis	3587	IL10RA	117986370	11
X8229.1	cis	283464	GXYLT1	42081845	12
X8232.90	cis	120425	JAML	118193725	11
X8233.2	cis	80760	ITIH5	7559270	10
X8239.223	cis	590	BCHE	165772904	3
X8240.207	cis	10457	GPNMB	23235967	7
X8244.16	cis	2530	FUT8	65410592	14
X8246.9	cis	255738	PCSK9	55039447	1
X8248.222	cis	100049587	SIGLEC14	51639478	19
X8252.2	cis	147111	NOTUM	81952507	17
X8264.43	cis	28514	DLL1	170282206	6
X8269.327	cis	153642	ARSK	95555101	5
X8287.17	cis	342510	CD300E	74609885	17
X8289.8	cis	10457	GPNMB	23235967	7
X8295.16	cis	93145	OLFM2	9853718	19
X8296.117	cis	143888	POGLUT3	108472112	11
X8297.8	cis	54431	DNAJC10	182716255	2
X8299.66	cis	23547	LILRA4	54333185	19
X8304.50	cis	4982	TNFRSF11B	118923557	8
X8309.12	cis	3373	HYAL1	50299890	3
X8310.6	cis	124220	ZG16B	2830253	16
X8323.163	cis	7033	TFF3	42311667	21
X8330.1	cis	84918	LRP11	149818757	6
X8337.65	cis	10076	PTPRU	29236516	1
X8346.9	cis	29952	DPP7	137110542	9
X8360.169	cis	9437	NCR1	54906148	19
X8364.74	cis	10090	UST	148747030	6
X8368.102	cis	7133	TNFRSF1B	12166991	1
X8376.25	cis	3972	LHB	49015980	19
X8385.248	cis	3083	HGFAC	3441968	4
X8394.56	cis	6036	RNASE2	20955487	14
X8397.147	cis	169714	QSOX2	136206333	9
X8398.277	cis	5918	RARRES1	158696892	3
X8407.84	cis	4853	NOTCH2	119911553	1
X8409.3	cis	340419	RSPO2	107899316	8
X8463.2	cis	6649	SOD3	24789912	4
X8464.31	cis	343637	RSPO4	958452	20
X8465.52	cis	1512	CTSH	78921058	15
X8474.6	cis	4919	ROR1	63774017	1
X8479.4	cis	4319	MMP10	102770502	11
X8480.29	cis	2202	EFEMP1	55865967	2
X8606.39	cis	10457	GPNMB	23235967	7
X8620.56	cis	43847	KLK14	51077495	19
X8644.46	cis	1512	CTSH	78921058	15
X8660.5	cis	56944	OLFML3	113979391	1
X8687.26	cis	54664	TMEM106B	12211270	7
X8697.38	cis	2817	GPC1	240435663	2
X8702.42	cis	126014	OSCAR	54094668	19
X8759.29	cis	53947	A4GALT	42692121	22
X8773.172	cis	90187	EMILIN3	41359962	20
X8776.10	cis	10613	ERLIN1	100150094	10
X8794.13	cis	1800	DPEP1	89613308	16
X8840.61	cis	716	C1S	6988259	12
X8866.53	cis	54814	QPCTL	45692403	19
X8869.5	cis	11120	BTN2A1	26457904	6
X8874.53	cis	1203	CLN5	76990660	13
X8890.9	cis	114795	TMEM132B	125186386	12
X8916.32	cis	6786	STIM1	3854527	11
X8923.94	cis	57452	GALNT16	69259277	14
X8925.25	cis	50484	RRM2B	102204502	8
X8932.1	cis	955	ENTPD6	25195693	20
X8953.47	cis	3068	HDGF	156742109	1
X8956.96	cis	91179	SCARF2	20424584	22
X8957.72	cis	27248	ERLEC1	53787009	2
X8959.61	cis	6868	ADAM17	9488486	2
X8960.3	cis	64167	ERAP2	96875986	5
X8969.49	cis	929	CD14	140631728	5
X8974.172	cis	1306	COL15A1	98943179	9
X8976.13	cis	2583	B4GALNT1	57623409	12
X8982.65	cis	7059	THBS3	155195588	1
X8983.7	cis	51280	GOLM1	86026146	9
X8989.40	cis	80274	SCUBE1	43197280	22
X9013.60	cis	9423	NTN1	9021510	17
X9014.18	cis	84866	TMEM25	118531041	11
X9017.58	cis	3938	LCT	135787850	2
X9018.38	cis	57575	PCDH10	133149294	4
X9040.144	cis	54749	EPDR1	37920640	7
X9061.3	cis	9639	ARHGEF10	1823926	8
X9076.25	cis	5179	PENK	56436674	8
X9077.10	cis	10905	MAN1A2	117367449	1
X9092.33	cis	9068	ANGPTL1	178849535	1
X9094.5	cis	170482	CLEC4C	7729383	12
X9126.171	cis	51559	NT5DC3	103770453	12
X9172.69	cis	4317	MMP8	102711796	11
