Analytes	ENSG_ID	Gene	Start	End	CHR	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	NormGroup	Strand	Type
X12473.48	ENSG00000167977	KCTD5	2682523	2709030	16	12473-48	3	SL015285	BTB/POZ domain-containing protein KCTD5	KCTD5	Q9NXV2	54442	KCTD5	S1	1	protein_coding
X12475.48	ENSG00000112782	CLIC5	45880827	46080348	6	12475-48	3	SL019722	Chloride intracellular channel protein 5	CLIC5	Q9NZA1	53405	CLIC5	S2	-1	protein_coding
X12476.50	ENSG00000078237	TIGAR	4307763	4360028	12	12476-50	3	SL013278	Fructose-2,6-bisphosphatase TIGAR	TIGAR	Q9NQ88	57103	TIGAR	S1	1	protein_coding
X12477.42	ENSG00000211460	TSN	121737103	121767853	2	12477-42	3	SL019734	Translin	TSN	Q15631	7247	TSN	S2	1	protein_coding
X12478.15	ENSG00000156482	RPL30	98024851	98046469	8	12478-15	3	SL008862	60S ribosomal protein L30	RL30	P62888	6156	RPL30	S2	-1	protein_coding
X12479.50	ENSG00000188191	PRKAR1B	549197	727650	7	12479-50	3	SL014768	cAMP-dependent protein kinase type I-beta regulatory subunit	KAP1	P31321	5575	PRKAR1B	S2	-1	protein_coding
X12480.9	ENSG00000068308	OTUD5	48922024	48958386	X	12480-9	3	SL019713	OTU domain-containing protein 5	OTUD5	Q96G74	55593	OTUD5	S2	-1	protein_coding
X12482.5	ENSG00000171634	BPTF	67825503	67984378	17	12482-5	3	SL007512	Nucleosome-remodeling factor subunit BPTF	BPTF	Q12830	2186	BPTF	S1	1	protein_coding
X12483.62	ENSG00000198963	RORB	74497335	74693177	9	12483-62	3	SL007576	Nuclear receptor ROR-beta	RORB	Q92753	6096	RORB	S2	1	protein_coding
X12484.67	ENSG00000180957	PITPNB	27851669	27920134	22	12484-67	3	SL011194	Phosphatidylinositol transfer protein beta isoform	PIPNB	P48739	23760	PITPNB	S2	-1	protein_coding
X12486.8	ENSG00000023572	GLRX2	193090866	193106114	1	12486-8	3	SL007708	Glutaredoxin-2, mitochondrial	GLRX2	Q9NS18	51022	GLRX2	S2	-1	protein_coding
X12488.9	ENSG00000232119	MCTS1	120594010	120621159	X	12488-9	3	SL015331	Malignant T-cell-amplified sequence 1	MCTS1	Q9ULC4	28985	MCTS1	S1	1	protein_coding
X12490.92	ENSG00000109270	LAMTOR3	99878336	99894428	4	12490-92	3	SL019720	Ragulator complex protein LAMTOR3	LTOR3	Q9UHA4	8649	LAMTOR3	S2	-1	protein_coding
X12491.23	ENSG00000169504	CLIC4	24745382	24844321	1	12491-23	3	SL008340	Chloride intracellular channel protein 4	CLIC4	Q9Y696	25932	CLIC4	S2	1	protein_coding
X12493.42	ENSG00000089723	OTUB2	94026340	94048930	14	12493-42	3	SL019735	Ubiquitin thioesterase OTUB2	OTUB2	Q96DC9	78990	OTUB2	S2	1	protein_coding
X12494.99	ENSG00000034713	GABARAPL2	75566375	75577881	16	12494-99	3	SL019741	Gamma-aminobutyric acid receptor-associated protein-like 2	GBRL2	P60520	11345	GABARAPL2	S2	1	protein_coding
X12497.29	ENSG00000168101	NUDT16L1	4693562	4695859	16	12497-29	3	SL015180	Tudor-interacting repair regulator protein	SDOS	Q9BRJ7	84309	NUDT16L1	S2	1	protein_coding
X12498.12	ENSG00000213977	TAX1BP3	3662895	3668679	17	12498-12	3	SL019719	Tax1-binding protein 3	TX1B3	O14907	30851	TAX1BP3	S2	-1	protein_coding
X12499.108	ENSG00000107295	SH3GL2	17579066	17797124	9	12499-108	3	SL015171	Endophilin-A1	SH3G2	Q99962	6456	SH3GL2	S2	1	protein_coding
X12500.88	ENSG00000126261	UBA2	34428352	34471251	19	12500-88	3	SL019730	SUMO-activating enzyme subunit 2	SAE2	Q9UBT2	10054	UBA2	S2	1	protein_coding
X12501.10	ENSG00000171530	TBCA	77691166	77868780	5	12501-10	3	SL008849	Tubulin-specific chaperone A	TBCA	O75347	6902	TBCA	S2	-1	protein_coding
X12503.5	ENSG00000119714	GPR68	91232532	91253925	14	12503-5	3	SL007451	Ovarian cancer G-protein coupled receptor 1	SPR1	Q15743	8111	GPR68	S2	-1	protein_coding
X12504.26	ENSG00000163431	LMOD1	201896456	201946548	1	12504-26	3	SL008078	Leiomodin-1	LMOD1	P29536	25802	LMOD1	S1	-1	protein_coding
X12507.16	ENSG00000086544	ITPKC	40717112	40740860	19	12507-16	3	SL019723	Inositol-trisphosphate 3-kinase C	IP3KC	Q96DU7	80271	ITPKC	S1	1	protein_coding
X12508.9	ENSG00000249884	RNF103-CHMP3	86505668	86721122	2	12508-9	3	SL008756	Charged multivesicular body protein 3	CHMP3	Q9Y3E7	100526767	CHMP3	S2	-1	protein_coding
X12509.115	ENSG00000173163	COMMD1	61888724	62147247	2	12509-115	3	SL019736	COMM domain-containing protein 1	COMD1	Q8N668	150684	COMMD1	S1	1	protein_coding
X12510.3	ENSG00000035720	STAP1	67558727	67607337	4	12510-3	3	SL019742	Signal-transducing adaptor protein 1	STAP1	Q9ULZ2	26228	STAP1	S2	1	protein_coding
X12511.83	ENSG00000136052	SLC41A2	104801801	104958744	12	12511-83	3	SL019747	Solute carrier family 41 member 2	S41A2	Q96JW4	84102	SLC41A2	S1	-1	protein_coding
X12513.8	ENSG00000139433	GLTP	109850945	109880541	12	12513-8	3	SL008826	Glycolipid transfer protein	GLTP	Q9NZD2	51228	GLTP	S2	-1	protein_coding
X12514.16	ENSG00000037897	METTL1	57768471	57772119	12	12514-16	3	SL004624	tRNA (guanine-N(7)-)-methyltransferase	METTL1	Q9UBP6	4234	METTL1	S1	-1	protein_coding
X12515.45	ENSG00000143179	UCK2	165827614	165911618	1	12515-45	3	SL019724	Uridine-cytidine kinase 2	UCK2	Q9BZX2	7371	UCK2	S1	1	protein_coding
X12516.13	ENSG00000197905	TEAD4	2959330	3040676	12	12516-13	3	SL019731	Transcriptional enhancer factor TEF-3	TEAD4	Q15561	7004	TEAD4	S1	1	protein_coding
X12517.52	ENSG00000105185	PDCD5	32581190	32587453	19	12517-52	3	SL003787	Programmed cell death protein 5	TFAR19	O14737	9141	PDCD5	S2	1	protein_coding
X12518.289	ENSG00000163939	PBRM1	52545352	52685917	3	12518-289	3	SL011258	Protein polybromo-1	PB1	Q86U86	55193	PBRM1	S2	-1	protein_coding
X12521.3	ENSG00000123080	CDKN2C	50960745	50974634	1	12521-3	3	SL007230	Cyclin-dependent kinase 4 inhibitor C	CDN2C	P42773	1031	CDKN2C	S2	1	protein_coding
X12522.6	ENSG00000119318	RAD23B	107283137	107332192	9	12522-6	3	SL011201	UV excision repair protein RAD23 homolog B	RD23B	P54727	5887	RAD23B	S2	1	protein_coding
X12524.18	ENSG00000141504	SAT2	7626234	7627876	17	12524-18	3	SL019774	Diamine acetyltransferase 2	SAT2	Q96F10	112483	SAT2	S1	-1	protein_coding
X12527.50	ENSG00000126351	THRA	40058290	40093867	17	12527-50	3	SL013736	Thyroid hormone receptor alpha	THA	P10827	7067	THRA	S1	1	protein_coding
X12528.40	ENSG00000124535	WRNIP1	2765393	2786952	6	12528-40	3	SL019761	ATPase WRNIP1	WRIP1	Q96S55	56897	WRNIP1	S1	1	protein_coding
X12529.32	ENSG00000077800	FKBP6	73328161	73358637	7	12529-32	3	SL019753	Inactive peptidyl-prolyl cis-trans isomerase FKBP6	FKBP6	O75344	8468	FKBP6	S2	1	protein_coding
X12530.14	ENSG00000173207	CKS1B	154974653	154979251	1	12530-14	3	SL005032	Cyclin-dependent kinases regulatory subunit 1	CKS-1	P61024	1163	CKS1B	S2	1	protein_coding
X12532.28	ENSG00000099804	CDC34	531760	542092	19	12532-28	3	SL013788	Ubiquitin-conjugating enzyme E2 R1	UB2R1	P49427	997	CDC34	S2	1	protein_coding
X12533.135	ENSG00000105443	CYTH2	48469208	48482314	19	12533-135	3	SL019781	Cytohesin-2	CYH2	Q99418	9266	CYTH2	S1	1	protein_coding
X12534.10	ENSG00000136436	CALCOCO2	48831018	48868228	17	12534-10	3	SL019796	Calcium-binding and coiled-coil domain-containing protein 2	CACO2	Q13137	10241	CALCOCO2	S2	1	protein_coding
X12535.2	ENSG00000073050	XRCC1	43543311	43580473	19	12535-2	3	SL013748	DNA repair protein XRCC1	XRCC1	P18887	7515	XRCC1	S1	-1	protein_coding
X12536.46	ENSG00000139505	MTMR6	25246222	25287510	13	12536-46	3	SL019758	Myotubularin-related protein 6	MTMR6	Q9Y217	9107	MTMR6	S1	-1	protein_coding
X12537.88	ENSG00000185129	PURA	140107777	140125619	5	12537-88	3	SL013811	Transcriptional activator protein Pur-alpha	PURA	Q00577	5813	PURA	S1	1	protein_coding
X12538.19	ENSG00000182901	RGS7	240767636	241357374	1	12538-19	3	SL019759	Regulator of G-protein signaling 7	RGS7	P49802	6000	RGS7	S2	-1	protein_coding
X12540.25	ENSG00000177105	RHOG	3826978	3840959	11	12540-25	3	SL019775	Rho-related GTP-binding protein RhoG	RHOG	P84095	391	RHOG	S2	-1	protein_coding
X12543.76	ENSG00000198028	ZNF560	9466355	9498616	19	12543-76	3	SL019752	Zinc finger protein 560	ZN560	Q96MR9	147741	ZNF560	S1	-1	protein_coding
X12546.1	ENSG00000183963	SMTN	31064105	31104757	22	12546-1	3	SL014839	Smoothelin	SMTN	P53814	6525	SMTN	S2	1	protein_coding
X12548.75	ENSG00000116954	RRAGC	38838198	38859772	1	12548-75	3	SL019776	Ras-related GTP-binding protein C	RRAGC	Q9HB90	64121	RRAGC	S1	-1	protein_coding
X12549.33	ENSG00000163106	HPGDS	94298535	94342876	4	12549-33	3	SL014636	Hematopoietic prostaglandin D synthase	PTGD2	O60760	27306	HPGDS	S2	-1	protein_coding
X12551.3	ENSG00000289720		34363271	34540923	20	12551-3	3	SL007599	E3 ubiquitin-protein ligase Itchy homolog	ITCH	Q96J02	83737	ITCH	S1	1	protein_coding
X12553.5	ENSG00000100749	VRK1	96797304	96954846	14	12553-5	3	SL010954	Serine/threonine-protein kinase VRK1	VRK1	Q99986	7443	VRK1	S1	1	protein_coding
X12554.10	ENSG00000185379	RAD51D	35092221	35121522	17	12554-10	3	SL013725	DNA repair protein RAD51 homolog 4	RA51D	O75771	5892	RAD51D	S2	-1	protein_coding
X12556.7	ENSG00000175063	UBE2C	45812576	45816957	20	12556-7	3	SL006252	Ubiquitin-conjugating enzyme E2 C	UBE2C	O00762	11065	UBE2C	S2	1	protein_coding
X12557.18	ENSG00000139910	NOVA1	26443090	26598033	14	12557-18	3	SL019782	RNA-binding protein Nova-1	NOVA1	P51513	4857	NOVA1	S1	-1	protein_coding
X12558.3	ENSG00000154127	UBASH3B	122655722	122814473	11	12558-3	3	SL011269	Ubiquitin-associated and SH3 domain-containing protein B	UBS3B	Q8TF42	84959	UBASH3B	S2	1	protein_coding
X12560.9	ENSG00000125458	NT5C	75130225	75131757	17	12560-9	3	SL008415	5'(3')-deoxyribonucleotidase, cytosolic type	NT5C	Q8TCD5	30833	NT5C	S2	-1	protein_coding
X12562.1	ENSG00000123143	PKN1	14433053	14471867	19	12562-1	3	SL014979	Serine/threonine-protein kinase N1	PKN1	Q16512	5585	PKN1	S2	1	protein_coding
X12563.2	ENSG00000145779	TNFAIP8	119268692	119399688	5	12563-2	3	SL019770	Tumor necrosis factor alpha-induced protein 8	TFIP8	O95379	25816	TNFAIP8	S2	1	protein_coding
X12564.9	ENSG00000132603	NIP7	69337996	69343106	16	12564-9	3	SL019777	60S ribosome subunit biogenesis protein NIP7 homolog	NIP7	Q9Y221	51388	NIP7	S2	1	protein_coding
X12568.14	ENSG00000079999	KEAP1	10486125	10503558	19	12568-14	3	SL017529	Kelch-like ECH-associated protein 1	KEAP1	Q14145	9817	KEAP1	S1	-1	protein_coding
X12569.25	ENSG00000150753	CCT5	10249929	10266389	5	12569-25	3	SL004993	T-complex protein 1 subunit epsilon	TCP-1-epsilon	P48643	22948	CCT5	S1	1	protein_coding
X12571.14	ENSG00000138175	ARL3	102673731	102714397	10	12571-14	3	SL019778	ADP-ribosylation factor-like protein 3	ARL3	P36405	403	ARL3	S2	-1	protein_coding
X12572.236	ENSG00000100842	EFS	23356403	23365752	14	12572-236	3	SL019783	Embryonal Fyn-associated substrate	EFS	O43281	10278	EFS	S2	-1	protein_coding
X12573.80	ENSG00000110171	TRIM3	6448613	6474459	11	12573-80	3	SL019797	Tripartite motif-containing protein 3	TRIM3	O75382	10612	TRIM3	S1	-1	protein_coding
X12574.36	ENSG00000127129	EDN2	41478775	41484683	1	12574-36	3	SL000405	Endothelin-2	Endothelin 2	P20800	1907	EDN2	S2	-1	protein_coding
X12575.30	ENSG00000100714	MTHFD1	64388031	64463457	14	12575-30	3	SL008027	C-1-tetrahydrofolate synthase, cytoplasmic	C1TC	P11586	4522	MTHFD1	S2	1	protein_coding
X12576.21	ENSG00000221867	MAGEA3	152698767	152702347	X	12576-21	3	SL002732	Melanoma-associated antigen 3	MAGE-3	P43357	4102	MAGEA3	S2	1	protein_coding
X12577.100	ENSG00000168496	FEN1	61792911	61797238	11	12577-100	3	SL002091	Flap endonuclease 1	FLAP endonuclease-1	P39748	2237	FEN1	S1	1	protein_coding
X12578.13	ENSG00000134287	ARF3	48935723	48957487	12	12578-13	3	SL006497	ADP-ribosylation factor 3	ARF3	P61204	377	ARF3	S2	-1	protein_coding
X12580.7	ENSG00000100804	PSMB5	23016543	23035230	14	12580-7	3	SL012949	Proteasome subunit beta type-5	PSB5	P28074	5693	PSMB5	S2	-1	protein_coding
X12581.39	ENSG00000141401	IMPA2	11981025	12030877	18	12581-39	3	SL014587	Inositol monophosphatase 2	IMPA2	O14732	3613	IMPA2	S1	1	protein_coding
X12583.77	ENSG00000078061	ARAF	47561205	47571908	X	12583-77	3	SL019755	Serine/threonine-protein kinase A-Raf	ARAF	P10398	369	ARAF	S2	1	protein_coding
X12585.39	ENSG00000012061	ERCC1	45407334	45478828	19	12585-39	3	SL009589	DNA excision repair protein ERCC-1	ERCC1	P07992	2067	ERCC1	S1	-1	protein_coding
X12587.65	ENSG00000213465	ARL2	65014160	65022184	11	12587-65	3	SL019779	ADP-ribosylation factor-like protein 2	ARL2	P36404	402	ARL2	S2	1	protein_coding
X12591.27	ENSG00000079482	OPHN1	67949349	68433913	X	12591-27	3	SL002050	Oligophrenin-1	Oligophrenin-1	O60890	4983	OPHN1	S1	-1	protein_coding
X12593.33	ENSG00000088356	PDRG1	31944337	31952046	20	12593-33	3	SL019751	p53 and DNA damage-regulated protein 1	PDRG1	Q9NUG6	81572	PDRG1	S2	-1	protein_coding
X12594.5	ENSG00000115271	GCA	162318840	162371595	2	12594-5	3	SL019772	Grancalcin	GRAN	P28676	25801	GCA	S2	1	protein_coding
X12595.11	ENSG00000136842	TMOD1	97501180	97601743	9	12595-11	3	SL010848	Tropomodulin-1	TMOD1	P28289	7111	TMOD1	S2	1	protein_coding
X12597.68	ENSG00000057663	ATG5	106045423	106325791	6	12597-68	3	SL019171	Autophagy protein 5	Autophagy protein 5	Q9H1Y0	9474	ATG5	S2	-1	protein_coding
X12599.10	ENSG00000149781	FERMT3	64205926	64223896	11	12599-10	3	SL010979	Fermitin family homolog 3	URP2	Q86UX7	83706	FERMT3	S2	1	protein_coding
X12603.87	ENSG00000090621	PABPC4	39560709	39576790	1	12603-87	3	SL019780	Polyadenylate-binding protein 4	PABP4	Q13310	8761	PABPC4	S2	-1	protein_coding
X12604.16	ENSG00000010803	SCMH1	41027202	41242306	1	12604-16	3	SL019785	Polycomb protein SCMH1	SCMH1	Q96GD3	22955	SCMH1	S1	-1	protein_coding
X12605.1	ENSG00000107371	EXOSC3	37759234	37832117	9	12605-1	3	SL005742	Exosome complex component RRP40	Exosome component 3	Q9NQT5	51010	EXOSC3	S1	-1	protein_coding
X12612.37	ENSG00000008018	PSMB1	170535120	170553307	6	12612-37	3	SL008624	Proteasome subunit beta type-1	PSB1	P20618	5689	PSMB1	S2	-1	protein_coding
X12616.45	ENSG00000115216	NRBP1	27427790	27442259	2	12616-45	3	SL019803	Nuclear receptor-binding protein	NRBP	Q9UHY1	29959	NRBP1	S1	1	protein_coding
X12617.2	ENSG00000102572	STK24	98445185	98577940	13	12617-2	3	SL008369	Serine/threonine-protein kinase 24	STK24	Q9Y6E0	8428	STK24	S2	-1	protein_coding
X12618.50	ENSG00000187134	AKR1C1	4963253	4983283	10	12618-50	3	SL008344	Aldo-keto reductase family 1 member C1	Aldo-keto reductase 1C1	Q04828	1645	AKR1C1	S1	1	protein_coding
X12619.14	ENSG00000100614	PPM1A	60245752	60299087	14	12619-14	3	SL004719	Protein phosphatase 1A	Protein phophatase 2Ca	P35813	5494	PPM1A	S2	1	protein_coding
X12620.3	ENSG00000138758	SEPTIN11	76949751	77040384	4	12620-3	3	SL011301	Septin-11	Septin-11	Q9NVA2	55752	SEPTIN11	S2	1	protein_coding
X12621.55	ENSG00000105568	PPP2R1A	52170936	52229518	19	12621-55	3	SL008081	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	PP2AAA	P30153	5518	PPP2R1A	S2	1	protein_coding
X12622.96	ENSG00000116539	ASH1L	155335268	155563162	1	12622-96	3	SL019786	Histone-lysine N-methyltransferase ASH1L	ASH1L	Q9NR48	55870	ASH1L	S1	-1	protein_coding
X12623.84	ENSG00000008083	JARID2	15246069	15522042	6	12623-84	3	SL019793	Protein Jumonji	JARD2	Q92833	3720	JARID2	S1	1	protein_coding
X12625.138	ENSG00000122550	KLHL7	23105758	23177914	7	12625-138	3	SL019811	Kelch-like protein 7	KLHL7	Q8IXQ5	55975	KLHL7	S2	1	protein_coding
X12626.6	ENSG00000138468	SENP7	101324205	101513241	3	12626-6	3	SL019816	Sentrin-specific protease 7	SENP7	Q9BQF6	57337	SENP7	S1	-1	protein_coding
X12627.97	ENSG00000197548	ATG7	11272309	11557665	3	12627-97	3	SL019821	Ubiquitin-like modifier-activating enzyme ATG7	ATG7	O95352	10533	ATG7	S2	1	protein_coding
X12628.31	ENSG00000132434	LANCL2	55365337	55433737	7	12628-31	3	SL019826	LanC-like protein 2	LANC2	Q9NS86	55915	LANCL2	S2	1	protein_coding
X12630.8	ENSG00000132254	ARFIP2	6474683	6481479	11	12630-8	3	SL019787	Arfaptin-2	ARFP2	P53365	23647	ARFIP2	S2	-1	protein_coding
X12632.14	ENSG00000171428	NAT1	18170477	18223689	8	12632-14	3	SL019805	Arylamine N-acetyltransferase 1	ARY1	P18440	9	NAT1	S2	1	protein_coding
X12633.3	ENSG00000169410	PTPN9	75463251	75579315	15	12633-3	3	SL019812	Tyrosine-protein phosphatase non-receptor type 9	PTN9	P43378	5780	PTPN9	S1	-1	protein_coding
X12634.79	ENSG00000137936	BCAR3	93561741	93847150	1	12634-79	3	SL025804	Breast cancer anti-estrogen resistance protein 3:Guanine Nucleotide Exchange Factor Domain	BCAR3:Ras-GEF	O75815	8412	BCAR3	S1	-1	protein_coding
X12635.9	ENSG00000107614	TRDMT1	17137336	17202054	10	12635-9	3	SL019822	tRNA (cytosine(38)-C(5))-methyltransferase	TRDMT	O14717	1787	TRDMT1	S1	-1	protein_coding
X12636.113	ENSG00000143499	SMYD2	214281102	214337131	1	12636-113	3	SL019827	N-lysine methyltransferase SMYD2	SMYD2	Q9NRG4	56950	SMYD2	S1	1	protein_coding
X12637.7	ENSG00000095321	CRAT	129094142	129111189	9	12637-7	3	SL019832	Carnitine O-acetyltransferase	CACP	P43155	1384	CRAT	S1	-1	protein_coding
X12641.3	ENSG00000204084	INPP5B	37860697	37947053	1	12641-3	3	SL019813	Type II inositol 1,4,5-trisphosphate 5-phosphatase	I5P2	P32019	3633	INPP5B	S2	-1	protein_coding
X12643.4	ENSG00000137486	ARRB1	75260122	75351705	11	12643-4	3	SL011195	Beta-arrestin-1	ARRB1	P49407	408	ARRB1	S2	-1	protein_coding
X12644.63	ENSG00000035687	ADSS2	244408494	244451909	1	12644-63	3	SL019828	Adenylosuccinate synthetase isozyme 2	PURA2	P30520	159	ADSS2	S2	-1	protein_coding
X12646.2	ENSG00000197713	RPE	210002565	210022260	2	12646-2	3	SL013233	Ribulose-phosphate 3-epimerase	RPE	Q96AT9	6120	RPE	S2	1	protein_coding
X12647.52	ENSG00000181555	SETD2	47016428	47164113	3	12647-52	3	SL016514	Histone-lysine N-methyltransferase SETD2	SETD2	Q9BYW2	29072	SETD2	S1	-1	protein_coding
X12649.80	ENSG00000146701	MDH2	76048051	76067508	7	12649-80	3	SL004917	Malate dehydrogenase, mitochondrial	Malate dehydrogenase 2	P40926	4191	MDH2	S2	1	protein_coding
X12650.43	ENSG00000065135	GNAI3	109548615	109600195	1	12650-43	3	SL008873	Guanine nucleotide-binding protein G(k) subunit alpha	GNAI3	P08754	2773	GNAI3	S2	1	protein_coding
X12651.21	ENSG00000005882	PDK2	50094737	50112152	17	12651-21	3	SL019823	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial	PDK2	Q15119	5164	PDK2	S1	1	protein_coding
X12652.37	ENSG00000168710	AHCYL1	109984765	110023742	1	12652-37	3	SL019829	Adenosylhomocysteinase 2	SAHH2	O43865	10768	AHCYL1	S2	1	protein_coding
X12653.13	ENSG00000133275	CSNK1G2	1941172	1981338	19	12653-13	3	SL010497	Casein kinase I isoform gamma-2	CSNK1G2	P78368	1455	CSNK1G2	S1	1	protein_coding
X12655.30	ENSG00000125814	NAPB	23374519	23421519	20	12655-30	3	SL010994	Beta-soluble NSF attachment protein	SNAB	Q9H115	63908	NAPB	S2	-1	protein_coding
X12656.1	ENSG00000126214	KLC1	103561896	103714249	14	12656-1	3	SL019807	Kinesin light chain 1	KLC1	Q07866	3831	KLC1	S1	1	protein_coding
X12657.2	ENSG00000104522	GFUS	143612618	143618048	8	12657-2	3	SL010919	GDP-L-fucose synthase	FCL	Q13630	7264	TSTA3	S2	-1	protein_coding
X12658.72	ENSG00000120137	PANK3	168548495	168579368	5	12658-72	3	SL019818	Pantothenate kinase 3	PANK3	Q9H999	79646	PANK3	S2	-1	protein_coding
X12659.13	ENSG00000138430	OLA1	174072447	174248599	2	12659-13	3	SL008839	Obg-like ATPase 1	GTPB9	Q9NTK5	29789	OLA1	S2	-1	protein_coding
X12661.44	ENSG00000139112	GABARAPL1	10212458	10223128	12	12661-44	3	SL019788	Gamma-aminobutyric acid receptor-associated protein-like 1	GBRL1	Q9H0R8	23710	GABARAPL1	S2	1	protein_coding
X12662.82	ENSG00000104823	ECH1	38815422	38831841	19	12662-82	3	SL004998	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	ECH1	Q13011	1891	ECH1	S1	-1	protein_coding
X12663.1	ENSG00000128311	TST	37010859	37020183	22	12663-1	3	SL011234	Thiosulfate sulfurtransferase	THTR	Q16762	7263	TST	S2	-1	protein_coding
X12664.19	ENSG00000163629	PTPN13	86594315	86815171	4	12664-19	3	SL014918	Tyrosine-protein phosphatase non-receptor type 13	PTN13	Q12923	5783	PTPN13	S1	1	protein_coding
X12665.16	ENSG00000143621	ILF2	153661788	153671028	1	12665-16	3	SL014917	Interleukin enhancer-binding factor 2	ILF2	Q12905	3608	ILF2	S1	-1	protein_coding
X12667.2	ENSG00000119125	GDA	72114595	72257193	9	12667-2	3	SL009095	Guanine deaminase	GUAD	Q9Y2T3	9615	GDA	S2	1	protein_coding
X12668.7	ENSG00000119541	VPS4B	63389190	63422483	18	12668-7	3	SL019834	Vacuolar protein sorting-associated protein 4B	VPS4B	O75351	9525	VPS4B	S1	-1	protein_coding
X12669.30	ENSG00000002746	HECW1	43112629	43566001	7	12669-30	3	SL019789	E3 ubiquitin-protein ligase HECW1	HECW1	Q76N89	23072	HECW1	S1	1	protein_coding
X12670.15	ENSG00000113456	RAD1	34905260	34918989	5	12670-15	3	SL019800	Cell cycle checkpoint protein RAD1	RAD1	O60671	5810	RAD1	S1	-1	protein_coding
X12671.35	ENSG00000173597	SULT1B1	69721167	69787961	4	12671-35	3	SL019808	Sulfotransferase family cytosolic 1B member 1	ST1B1	O43704	27284	SULT1B1	S2	-1	protein_coding
X12675.14	ENSG00000115866	DARS1	135905881	135986100	2	12675-14	3	SL010893	Aspartate--tRNA ligase, cytoplasmic	SYDC	P14868	1615	DARS1	S2	-1	protein_coding
X12676.1	ENSG00000124507	PACSIN1	34466061	34535229	6	12676-1	3	SL019835	Protein kinase C and casein kinase substrate in neurons protein 1	PACN1	Q9BY11	29993	PACSIN1	S1	1	protein_coding
X12677.164	ENSG00000177731	FLII	18244815	18258738	17	12677-164	3	SL006530	Protein flightless-1 homolog	FLII	Q13045	2314	FLII	S2	-1	protein_coding
X12678.66	ENSG00000077312	SNRPA	40750637	40765389	19	12678-66	3	SL013011	U1 small nuclear ribonucleoprotein A	SNRPA	P09012	6626	SNRPA	S2	1	protein_coding
X12681.63	ENSG00000143258	USP21	161159450	161165723	1	12681-63	3	SL019819	Ubiquitin carboxyl-terminal hydrolase 21	UBP21	Q9UK80	27005	USP21	S2	1	protein_coding
X12682.5	ENSG00000137944	KYAT3	88935773	88992953	1	12682-5	3	SL019824	Kynurenine--oxoglutarate transaminase 3	KAT3	Q6YP21	56267	KYAT3	S2	-1	protein_coding
X12683.156	ENSG00000157851	DPYSL5	26847747	26950351	2	12683-156	3	SL019830	Dihydropyrimidinase-related protein 5	DPYL5	Q9BPU6	56896	DPYSL5	S1	1	protein_coding
X12684.5	ENSG00000006747	SCIN	12570577	12660182	7	12684-5	3	SL019836	Adseverin	ADSV	Q9Y6U3	85477	SCIN	S2	1	protein_coding
X12685.57	ENSG00000103942	HOMER2	82836946	82986153	15	12685-57	3	SL019790	Homer protein homolog 2	HOME2	Q9NSB8	9455	HOMER2	S1	-1	protein_coding
X12686.15	ENSG00000128309	MPST	37019635	37029821	22	12686-15	3	SL008788	3-mercaptopyruvate sulfurtransferase	THTM	P25325	4357	MPST	S1	1	protein_coding
X12687.2	ENSG00000104325	DECR1	90001405	90053633	8	12687-2	3	SL008215	2,4-dienoyl-CoA reductase, mitochondrial	DECR	Q16698	1666	DECR1	S2	1	protein_coding
X12688.115	ENSG00000072133	RPS6KA6	84058346	84206356	X	12688-115	3	SL019814	Ribosomal protein S6 kinase alpha-6	KS6A6	Q9UK32	27330	RPS6KA6	S2	-1	protein_coding
X12689.56	ENSG00000130429	ARPC1B	99374249	99394816	7	12689-56	3	SL011157	Actin-related protein 2/3 complex subunit 1B	ARC1B	O15143	10095	ARPC1B	S2	1	protein_coding
X12690.33	ENSG00000186522	SEPTIN10	109542799	109614143	2	12690-33	3	SL019825	Septin-10	10-Sep	Q9P0V9	151011	SEPTIN10	S2	-1	protein_coding
X12691.44	ENSG00000182199	SHMT2	57229573	57234935	12	12691-44	3	SL015512	Serine hydroxymethyltransferase, mitochondrial	GLYM	P34897	6472	SHMT2	S2	1	protein_coding
X12692.56	ENSG00000104885	DOT1L	2163933	2232578	19	12692-56	3	SL019837	Histone-lysine N-methyltransferase, H3 lysine-79 specific	DOT1L	Q8TEK3	84444	DOT1L	S1	1	protein_coding
X12693.2	ENSG00000131171	SH3BGRL	81202102	81298547	X	12693-2	3	SL008627	SH3 domain-binding glutamic acid-rich-like protein	SH3L1	O75368	6451	SH3BGRL	S2	1	protein_coding
X12694.28	ENSG00000086189	DIMT1	62347284	62403943	5	12694-28	3	SL019801	Probable dimethyladenosine transferase	DIM1	Q9UNQ2	27292	DIMT1	S1	-1	protein_coding
X12695.62	ENSG00000117153	KLHL12	202891116	202928636	1	12695-62	3	SL019809	Kelch-like protein 12	KLH12	Q53G59	59349	KLHL12	S1	-1	protein_coding
